timestep_2,region_2,carrier_1,carrier_2,scenario_1,parameter,value
all,AL,otherBiomass,solidBiomass,all,trdBuyUp,3759.234132
all,AT,otherBiomass,solidBiomass,all,trdBuyUp,25017.96039
all,BA,otherBiomass,solidBiomass,all,trdBuyUp,6393.235576
all,BE,otherBiomass,solidBiomass,all,trdBuyUp,0
all,BG,otherBiomass,solidBiomass,all,trdBuyUp,15725.81137
all,CH,otherBiomass,solidBiomass,all,trdBuyUp,27497.43553
all,CZ,otherBiomass,solidBiomass,all,trdBuyUp,28571.47801
all,DE,otherBiomass,solidBiomass,all,trdBuyUp,75973.30719
all,DK,otherBiomass,solidBiomass,all,trdBuyUp,17080.30185
all,EE,otherBiomass,solidBiomass,all,trdBuyUp,10991.49214
all,ES,otherBiomass,solidBiomass,all,trdBuyUp,69009.23432
all,FI,otherBiomass,solidBiomass,all,trdBuyUp,50966.83473
all,FR,otherBiomass,solidBiomass,all,trdBuyUp,62106.9807
all,GR,otherBiomass,solidBiomass,all,trdBuyUp,0
all,HR,otherBiomass,solidBiomass,all,trdBuyUp,4602.729686
all,HU,otherBiomass,solidBiomass,all,trdBuyUp,28002.91485
all,IE,otherBiomass,solidBiomass,all,trdBuyUp,7310.828643
all,IT,otherBiomass,solidBiomass,all,trdBuyUp,16881.06037
all,LT,otherBiomass,solidBiomass,all,trdBuyUp,0
all,LU,otherBiomass,solidBiomass,all,trdBuyUp,909.4887294
all,LV,otherBiomass,solidBiomass,all,trdBuyUp,22059.8766
all,ME,otherBiomass,solidBiomass,all,trdBuyUp,7169.838191
all,MK,otherBiomass,solidBiomass,all,trdBuyUp,4167.011276
all,NL,otherBiomass,solidBiomass,all,trdBuyUp,0
all,NO,otherBiomass,solidBiomass,all,trdBuyUp,26643.14826
all,PL,otherBiomass,solidBiomass,all,trdBuyUp,61857.83553
all,PT,otherBiomass,solidBiomass,all,trdBuyUp,2522.867535
all,RO,otherBiomass,solidBiomass,all,trdBuyUp,61037.39196
all,RS,otherBiomass,solidBiomass,all,trdBuyUp,24838.09697
all,SE,otherBiomass,solidBiomass,all,trdBuyUp,97957.10656
all,SI,otherBiomass,solidBiomass,all,trdBuyUp,10744.61675
all,SK,otherBiomass,solidBiomass,all,trdBuyUp,14792.81617
all,UK,otherBiomass,solidBiomass,all,trdBuyUp,0
all,AL,otherBiomass,nonSolidBiomass,all,trdBuyUp,503.0877471
all,AT,otherBiomass,nonSolidBiomass,all,trdBuyUp,1321.914161
all,BA,otherBiomass,nonSolidBiomass,all,trdBuyUp,448.3572247
all,BE,otherBiomass,nonSolidBiomass,all,trdBuyUp,10742.80638
all,BG,otherBiomass,nonSolidBiomass,all,trdBuyUp,2738.102666
all,CH,otherBiomass,nonSolidBiomass,all,trdBuyUp,5167.665136
all,CZ,otherBiomass,nonSolidBiomass,all,trdBuyUp,11707.97141
all,DE,otherBiomass,nonSolidBiomass,all,trdBuyUp,29337.96798
all,DK,otherBiomass,nonSolidBiomass,all,trdBuyUp,12021.31842
all,EE,otherBiomass,nonSolidBiomass,all,trdBuyUp,2311.868132
all,ES,otherBiomass,nonSolidBiomass,all,trdBuyUp,30466.68754
all,FI,otherBiomass,nonSolidBiomass,all,trdBuyUp,2233.984917
all,FR,otherBiomass,nonSolidBiomass,all,trdBuyUp,71777.25098
all,GR,otherBiomass,nonSolidBiomass,all,trdBuyUp,2126.402344
all,HR,otherBiomass,nonSolidBiomass,all,trdBuyUp,903.3123517
all,HU,otherBiomass,nonSolidBiomass,all,trdBuyUp,17686.3654
all,IE,otherBiomass,nonSolidBiomass,all,trdBuyUp,5097.422399
all,IT,otherBiomass,nonSolidBiomass,all,trdBuyUp,32106.36474
all,LT,otherBiomass,nonSolidBiomass,all,trdBuyUp,4691.813627
all,LU,otherBiomass,nonSolidBiomass,all,trdBuyUp,436.8550531
all,LV,otherBiomass,nonSolidBiomass,all,trdBuyUp,2354.523375
all,ME,otherBiomass,nonSolidBiomass,all,trdBuyUp,69.23311296
all,MK,otherBiomass,nonSolidBiomass,all,trdBuyUp,218.4554855
all,NL,otherBiomass,nonSolidBiomass,all,trdBuyUp,13561.58366
all,NO,otherBiomass,nonSolidBiomass,all,trdBuyUp,9291.363665
all,PL,otherBiomass,nonSolidBiomass,all,trdBuyUp,26212.28808
all,PT,otherBiomass,nonSolidBiomass,all,trdBuyUp,7656.305405
all,RO,otherBiomass,nonSolidBiomass,all,trdBuyUp,5969.327594
all,RS,otherBiomass,nonSolidBiomass,all,trdBuyUp,2904.586435
all,SE,otherBiomass,nonSolidBiomass,all,trdBuyUp,7875.223089
all,SI,otherBiomass,nonSolidBiomass,all,trdBuyUp,413.0155143
all,SK,otherBiomass,nonSolidBiomass,all,trdBuyUp,3445.82794
all,UK,otherBiomass,nonSolidBiomass,all,trdBuyUp,44947.14242
,,otherBiomass,solidBiomass,,trdBuyPrc,0
,,otherBiomass,nonSolidBiomass,,trdBuyPrc,0
