technology_3,timestep_2,carrier_1,parameter,value,source
alkElectrolysis,2040,,lifeConv,32.5,
alkElectrolysis,,,effConv,0.842192041,
alkElectrolysis,2040,,costExpConv,350,
alkElectrolysis,2040,,costOprConv,7,
alkElectrolysis,,,avaConv,0.941538462,
pemElectrolysis,2040,,lifeConv,27.5,
pemElectrolysis,,,effConv,0.85038736,
pemElectrolysis,2040,,costExpConv,525,
pemElectrolysis,2040,,costOprConv,21,
pemElectrolysis,,,avaConv,0.941538462,
alkElectrolysis,,h2,ratioConvOutFix,0.858494208,
pemElectrolysis,,h2,ratioConvOutFix,0.808573647,
