timestep_2,carrier_1,region_4,parameter,value,comment,source
2020,spaceHeat,01ES,capaDem,4.831,computed using historic generation quantities and full load hours from demand profiles,"Heat Roadmap Europe (2017), Profile of heating and cooling demand in 2015; Ruhnau (2019), when2heat"
2020,spaceHeat,02ES,capaDem,4.896,process heat distributed across clusters based on employment data and heat demand of relevant industries,"JRC (2012), Heat and cooling demand and market perspective; eurostat (2020), SBS data by NUTS 2 regions and NACE Rev. 2"
2020,spaceHeat,03ES,capaDem,3.263,,
2020,spaceHeat,04ES,capaDem,5.356,,
2020,spaceHeat,05ES,capaDem,2.293,,
2020,spaceHeat,06ES,capaDem,12.041,,
2020,spaceHeat,07ES,capaDem,11.354,,
2020,spaceHeat,08ES,capaDem,4.093,,
2020,spaceHeat,09ES,capaDem,7.268,,
2020,spaceHeat,10ES,capaDem,4.449,,
2020,spaceHeat,11ES,capaDem,11.776,,
2020,spaceHeat,12PT,capaDem,5.232,,
2020,spaceHeat,13PT,capaDem,4.228,,
2020,spaceHeat,14FR,capaDem,15.831,,
2020,spaceHeat,15FR,capaDem,9.298,,
2020,spaceHeat,16FR,capaDem,15.2,,
2020,spaceHeat,17FR,capaDem,13.862,,
2020,spaceHeat,18FR,capaDem,11.836,,
2020,spaceHeat,19FR,capaDem,11.205,,
2020,spaceHeat,20FR,capaDem,11.212,,
2020,spaceHeat,21FR,capaDem,15.266,,
2020,spaceHeat,22FR,capaDem,6.591,,
2020,spaceHeat,23FR,capaDem,37.207,,
2020,spaceHeat,24FR,capaDem,6.47,,
2020,spaceHeat,25FR,capaDem,17.856,,
2020,spaceHeat,26FR,capaDem,24.241,,
2020,spaceHeat,27FR,capaDem,2.893,,
2020,spaceHeat,28BE,capaDem,43.578,,
2020,spaceHeat,29LU,capaDem,3.297,,
2020,spaceHeat,30NL,capaDem,55.107,,
2020,spaceHeat,31DE,capaDem,45.071,,
2020,spaceHeat,32DE,capaDem,27.927,,
2020,spaceHeat,33DE,capaDem,58.93,,
2020,spaceHeat,34DE,capaDem,28.13,,
2020,spaceHeat,35DE,capaDem,38.463,,
2020,spaceHeat,36DE,capaDem,38.1,,
2020,spaceHeat,37DE,capaDem,45.476,,
2020,spaceHeat,38DK,capaDem,10.955,,
2020,spaceHeat,39CZ,capaDem,14.848,,
2020,spaceHeat,40CZ,capaDem,11.639,,
2020,spaceHeat,41PL,capaDem,18.135,,
2020,spaceHeat,42PL,capaDem,13.023,,
2020,spaceHeat,43PL,capaDem,17.636,,
2020,spaceHeat,44PL,capaDem,16.061,,
2020,spaceHeat,45PL,capaDem,12.214,,
2020,spaceHeat,46SK,capaDem,10.408,,
2020,spaceHeat,47CH,capaDem,21.561,,
2020,spaceHeat,48CH,capaDem,2.677,,
2020,spaceHeat,49AT,capaDem,5.905,,
2020,spaceHeat,50AT,capaDem,8.263,,
2020,spaceHeat,51AT,capaDem,10.921,,
2020,spaceHeat,52IT,capaDem,101.815,,
2020,spaceHeat,53IT,capaDem,19.265,,
2020,spaceHeat,54IT,capaDem,37.098,,
2020,spaceHeat,55IT,capaDem,19.628,,
2020,spaceHeat,56IT,capaDem,12.063,,
2020,spaceHeat,57SI,capaDem,4.389,,
2020,spaceHeat,58HU,capaDem,27.016,,
2020,spaceHeat,59RO,capaDem,6.375,,
2020,spaceHeat,60RO,capaDem,8.986,,
2020,spaceHeat,61RO,capaDem,7.288,,
2020,spaceHeat,62HR,capaDem,9.744,,
2020,spaceHeat,63BA,capaDem,4.427,,
2020,spaceHeat,64ME,capaDem,0.819,,
2020,spaceHeat,65RS,capaDem,8.154,,
2020,spaceHeat,66BG,capaDem,10.399,,
2020,spaceHeat,67MK,capaDem,2.97,,
2020,spaceHeat,68GR,capaDem,7.543,,
2020,spaceHeat,69GR,capaDem,10.849,,
2020,spaceHeat,70AL,capaDem,3.788,,
2020,spaceHeat,72DK,capaDem,8.677,,
2020,spaceHeat,73EE,capaDem,4.045,,
2020,spaceHeat,74FI,capaDem,3.712,,
2020,spaceHeat,75FI,capaDem,22.913,,
2020,spaceHeat,77LT,capaDem,5.384,,
2020,spaceHeat,78LV,capaDem,5.412,,
2020,spaceHeat,79NO,capaDem,1.313,,
2020,spaceHeat,80NO,capaDem,3.048,,
2020,spaceHeat,81NO,capaDem,4.738,,
2020,spaceHeat,82NO,capaDem,8.111,,
2020,spaceHeat,83NO,capaDem,2.516,,
2020,spaceHeat,84NO,capaDem,2.401,,
2020,spaceHeat,85NO,capaDem,0.335,,
2020,spaceHeat,86SE,capaDem,1.451,,
2020,spaceHeat,87SE,capaDem,4.588,,
2020,spaceHeat,88SE,capaDem,30.862,,
2020,spaceHeat,89SE,capaDem,8.326,,
2020,spaceHeat,90UK,capaDem,50.515,,
2020,spaceHeat,91UK,capaDem,11.293,,
2020,spaceHeat,92UK,capaDem,51.908,,
2020,spaceHeat,93UK,capaDem,14.593,,
2020,spaceHeat,94UK,capaDem,8.486,,
2020,spaceHeat,95UK,capaDem,4.341,,
2020,spaceHeat,96IE,capaDem,11.658,,
2020,spaceHeat,98IT,capaDem,4.578,,
2020,spaceHeat,99FR,capaDem,0.801,,
2025,spaceHeat,01ES,capaDem,3.494,,
2025,spaceHeat,02ES,capaDem,3.541,,
2025,spaceHeat,03ES,capaDem,2.361,,
2025,spaceHeat,04ES,capaDem,3.874,,
2025,spaceHeat,05ES,capaDem,1.659,,
2025,spaceHeat,06ES,capaDem,8.71,,
2025,spaceHeat,07ES,capaDem,8.214,,
2025,spaceHeat,08ES,capaDem,2.961,,
2025,spaceHeat,09ES,capaDem,5.258,,
2025,spaceHeat,10ES,capaDem,3.218,,
2025,spaceHeat,11ES,capaDem,8.519,,
2025,spaceHeat,12PT,capaDem,4.189,,
2025,spaceHeat,13PT,capaDem,3.384,,
2025,spaceHeat,14FR,capaDem,14.257,,
2025,spaceHeat,15FR,capaDem,8.374,,
2025,spaceHeat,16FR,capaDem,13.689,,
2025,spaceHeat,17FR,capaDem,12.484,,
2025,spaceHeat,18FR,capaDem,10.66,,
2025,spaceHeat,19FR,capaDem,10.091,,
2025,spaceHeat,20FR,capaDem,10.098,,
2025,spaceHeat,21FR,capaDem,13.748,,
2025,spaceHeat,22FR,capaDem,5.936,,
2025,spaceHeat,23FR,capaDem,33.509,,
2025,spaceHeat,24FR,capaDem,5.827,,
2025,spaceHeat,25FR,capaDem,16.081,,
2025,spaceHeat,26FR,capaDem,21.831,,
2025,spaceHeat,27FR,capaDem,2.605,,
2025,spaceHeat,28BE,capaDem,43.578,,
2025,spaceHeat,29LU,capaDem,2.493,,
2025,spaceHeat,30NL,capaDem,47.129,,
2025,spaceHeat,31DE,capaDem,45.062,,
2025,spaceHeat,32DE,capaDem,27.922,,
2025,spaceHeat,33DE,capaDem,58.919,,
2025,spaceHeat,34DE,capaDem,28.125,,
2025,spaceHeat,35DE,capaDem,38.456,,
2025,spaceHeat,36DE,capaDem,38.093,,
2025,spaceHeat,37DE,capaDem,45.468,,
2025,spaceHeat,38DK,capaDem,10.955,,
2025,spaceHeat,39CZ,capaDem,13.262,,
2025,spaceHeat,40CZ,capaDem,10.396,,
2025,spaceHeat,41PL,capaDem,15.477,,
2025,spaceHeat,42PL,capaDem,11.114,,
2025,spaceHeat,43PL,capaDem,15.051,,
2025,spaceHeat,44PL,capaDem,13.706,,
2025,spaceHeat,45PL,capaDem,10.423,,
2025,spaceHeat,46SK,capaDem,9.281,,
2025,spaceHeat,47CH,capaDem,21.557,,
2025,spaceHeat,48CH,capaDem,2.677,,
2025,spaceHeat,49AT,capaDem,5.904,,
2025,spaceHeat,50AT,capaDem,8.262,,
2025,spaceHeat,51AT,capaDem,10.919,,
2025,spaceHeat,52IT,capaDem,93.477,,
2025,spaceHeat,53IT,capaDem,17.688,,
2025,spaceHeat,54IT,capaDem,34.06,,
2025,spaceHeat,55IT,capaDem,18.02,,
2025,spaceHeat,56IT,capaDem,11.075,,
2025,spaceHeat,57SI,capaDem,4.346,,
2025,spaceHeat,58HU,capaDem,25.78,,
2025,spaceHeat,59RO,capaDem,5.454,,
2025,spaceHeat,60RO,capaDem,7.688,,
2025,spaceHeat,61RO,capaDem,6.236,,
2025,spaceHeat,62HR,capaDem,7.868,,
2025,spaceHeat,63BA,capaDem,3.788,,
2025,spaceHeat,64ME,capaDem,0.7,,
2025,spaceHeat,65RS,capaDem,6.976,,
2025,spaceHeat,66BG,capaDem,9.16,,
2025,spaceHeat,67MK,capaDem,2.541,,
2025,spaceHeat,68GR,capaDem,5.433,,
2025,spaceHeat,69GR,capaDem,7.814,,
2025,spaceHeat,70AL,capaDem,3.241,,
2025,spaceHeat,72DK,capaDem,8.677,,
2025,spaceHeat,73EE,capaDem,3.566,,
2025,spaceHeat,74FI,capaDem,2.843,,
2025,spaceHeat,75FI,capaDem,17.549,,
2025,spaceHeat,77LT,capaDem,5.373,,
2025,spaceHeat,78LV,capaDem,5.094,,
2025,spaceHeat,79NO,capaDem,1.313,,
2025,spaceHeat,80NO,capaDem,3.048,,
2025,spaceHeat,81NO,capaDem,4.738,,
2025,spaceHeat,82NO,capaDem,8.111,,
2025,spaceHeat,83NO,capaDem,2.516,,
2025,spaceHeat,84NO,capaDem,2.401,,
2025,spaceHeat,85NO,capaDem,0.335,,
2025,spaceHeat,86SE,capaDem,1.451,,
2025,spaceHeat,87SE,capaDem,4.588,,
2025,spaceHeat,88SE,capaDem,30.862,,
2025,spaceHeat,89SE,capaDem,8.326,,
2025,spaceHeat,90UK,capaDem,50.515,,
2025,spaceHeat,91UK,capaDem,11.293,,
2025,spaceHeat,92UK,capaDem,51.908,,
2025,spaceHeat,93UK,capaDem,14.593,,
2025,spaceHeat,94UK,capaDem,8.486,,
2025,spaceHeat,95UK,capaDem,4.341,,
2025,spaceHeat,96IE,capaDem,8.554,,
2025,spaceHeat,98IT,capaDem,4.203,,
2025,spaceHeat,99FR,capaDem,0.721,,
2030,spaceHeat,01ES,capaDem,3.088,,
2030,spaceHeat,02ES,capaDem,3.13,,
2030,spaceHeat,03ES,capaDem,2.086,,
2030,spaceHeat,04ES,capaDem,3.424,,
2030,spaceHeat,05ES,capaDem,1.466,,
2030,spaceHeat,06ES,capaDem,7.698,,
2030,spaceHeat,07ES,capaDem,7.259,,
2030,spaceHeat,08ES,capaDem,2.617,,
2030,spaceHeat,09ES,capaDem,4.647,,
2030,spaceHeat,10ES,capaDem,2.844,,
2030,spaceHeat,11ES,capaDem,7.529,,
2030,spaceHeat,12PT,capaDem,3.702,,
2030,spaceHeat,13PT,capaDem,2.991,,
2030,spaceHeat,14FR,capaDem,12.6,,
2030,spaceHeat,15FR,capaDem,7.401,,
2030,spaceHeat,16FR,capaDem,12.098,,
2030,spaceHeat,17FR,capaDem,11.034,,
2030,spaceHeat,18FR,capaDem,9.421,,
2030,spaceHeat,19FR,capaDem,8.918,,
2030,spaceHeat,20FR,capaDem,8.924,,
2030,spaceHeat,21FR,capaDem,12.151,,
2030,spaceHeat,22FR,capaDem,5.246,,
2030,spaceHeat,23FR,capaDem,29.615,,
2030,spaceHeat,24FR,capaDem,5.15,,
2030,spaceHeat,25FR,capaDem,14.213,,
2030,spaceHeat,26FR,capaDem,19.294,,
2030,spaceHeat,27FR,capaDem,2.303,,
2030,spaceHeat,28BE,capaDem,39.419,,
2030,spaceHeat,29LU,capaDem,2.203,,
2030,spaceHeat,30NL,capaDem,41.653,,
2030,spaceHeat,31DE,capaDem,39.827,,
2030,spaceHeat,32DE,capaDem,24.678,,
2030,spaceHeat,33DE,capaDem,52.073,,
2030,spaceHeat,34DE,capaDem,24.857,,
2030,spaceHeat,35DE,capaDem,33.988,,
2030,spaceHeat,36DE,capaDem,33.667,,
2030,spaceHeat,37DE,capaDem,40.185,,
2030,spaceHeat,38DK,capaDem,10.07,,
2030,spaceHeat,39CZ,capaDem,11.721,,
2030,spaceHeat,40CZ,capaDem,9.188,,
2030,spaceHeat,41PL,capaDem,13.679,,
2030,spaceHeat,42PL,capaDem,9.823,,
2030,spaceHeat,43PL,capaDem,13.302,,
2030,spaceHeat,44PL,capaDem,12.114,,
2030,spaceHeat,45PL,capaDem,9.212,,
2030,spaceHeat,46SK,capaDem,8.203,,
2030,spaceHeat,47CH,capaDem,19.052,,
2030,spaceHeat,48CH,capaDem,2.366,,
2030,spaceHeat,49AT,capaDem,5.218,,
2030,spaceHeat,50AT,capaDem,7.302,,
2030,spaceHeat,51AT,capaDem,9.65,,
2030,spaceHeat,52IT,capaDem,82.617,,
2030,spaceHeat,53IT,capaDem,15.632,,
2030,spaceHeat,54IT,capaDem,30.103,,
2030,spaceHeat,55IT,capaDem,15.927,,
2030,spaceHeat,56IT,capaDem,9.788,,
2030,spaceHeat,57SI,capaDem,3.841,,
2030,spaceHeat,58HU,capaDem,22.784,,
2030,spaceHeat,59RO,capaDem,4.82,,
2030,spaceHeat,60RO,capaDem,6.795,,
2030,spaceHeat,61RO,capaDem,5.511,,
2030,spaceHeat,62HR,capaDem,6.954,,
2030,spaceHeat,63BA,capaDem,3.348,,
2030,spaceHeat,64ME,capaDem,0.619,,
2030,spaceHeat,65RS,capaDem,6.166,,
2030,spaceHeat,66BG,capaDem,8.096,,
2030,spaceHeat,67MK,capaDem,2.246,,
2030,spaceHeat,68GR,capaDem,4.802,,
2030,spaceHeat,69GR,capaDem,6.906,,
2030,spaceHeat,70AL,capaDem,2.864,,
2030,spaceHeat,72DK,capaDem,7.976,,
2030,spaceHeat,73EE,capaDem,3.152,,
2030,spaceHeat,74FI,capaDem,2.512,,
2030,spaceHeat,75FI,capaDem,15.51,,
2030,spaceHeat,77LT,capaDem,4.749,,
2030,spaceHeat,78LV,capaDem,4.502,,
2030,spaceHeat,79NO,capaDem,1.179,,
2030,spaceHeat,80NO,capaDem,2.737,,
2030,spaceHeat,81NO,capaDem,4.255,,
2030,spaceHeat,82NO,capaDem,7.284,,
2030,spaceHeat,83NO,capaDem,2.259,,
2030,spaceHeat,84NO,capaDem,2.156,,
