technology_1,technology_2,technology_3,region_2,carrier_1,parameter,value
stock,heat,resistiveHeatSpaceStock,AL,,effConv,0.714
stock,heat,resistiveHeatSpaceStock,AT,,effConv,0.927
stock,heat,resistiveHeatSpaceStock,BA,,effConv,0.714
stock,heat,resistiveHeatSpaceStock,BE,,effConv,0.931
stock,heat,resistiveHeatSpaceStock,BG,,effConv,0.917
stock,heat,resistiveHeatSpaceStock,CH,,effConv,0.927
stock,heat,resistiveHeatSpaceStock,CZ,,effConv,0.899
stock,heat,resistiveHeatSpaceStock,DE,,effConv,0.937
stock,heat,resistiveHeatSpaceStock,DK,,effConv,0.933
stock,heat,resistiveHeatSpaceStock,EE,,effConv,0.913
stock,heat,resistiveHeatSpaceStock,ES,,effConv,0.927
stock,heat,resistiveHeatSpaceStock,FI,,effConv,0.935
stock,heat,resistiveHeatSpaceStock,FR,,effConv,0.94
stock,heat,resistiveHeatSpaceStock,GR,,effConv,0.89
stock,heat,resistiveHeatSpaceStock,HR,,effConv,0.833
stock,heat,resistiveHeatSpaceStock,HU,,effConv,0.895
stock,heat,resistiveHeatSpaceStock,IE,,effConv,0.906
stock,heat,resistiveHeatSpaceStock,IT,,effConv,0.895
stock,heat,resistiveHeatSpaceStock,LT,,effConv,0.929
stock,heat,resistiveHeatSpaceStock,LU,,effConv,0.934
stock,heat,resistiveHeatSpaceStock,LV,,effConv,0.925
stock,heat,resistiveHeatSpaceStock,ME,,effConv,0.714
stock,heat,resistiveHeatSpaceStock,MK,,effConv,0.714
stock,heat,resistiveHeatSpaceStock,NL,,effConv,0.925
stock,heat,resistiveHeatSpaceStock,NO,,effConv,0.94
stock,heat,resistiveHeatSpaceStock,PL,,effConv,0.895
stock,heat,resistiveHeatSpaceStock,PT,,effConv,0.917
stock,heat,resistiveHeatSpaceStock,RO,,effConv,0.714
stock,heat,resistiveHeatSpaceStock,RS,,effConv,0.714
stock,heat,resistiveHeatSpaceStock,SE,,effConv,0.94
stock,heat,resistiveHeatSpaceStock,SI,,effConv,0.881
stock,heat,resistiveHeatSpaceStock,SK,,effConv,0.912
stock,heat,resistiveHeatSpaceStock,UK,,effConv,0.919
