technology_3,parameter,timestep_2,value,source
heatpumpAirDh,avaConv,,0.980769231,"see techData -> powerAndDhData, assumed same values for gas and h2"
eBoilerDh,avaConv,,0.986153846,
eBoilerDh,effConv,,0.99,
heatpumpAirDh,lifeConv,,25,
eBoilerDh,lifeConv,,20,
heatpumpAirDh,costExpConv,2040,2949.294329,
eBoilerDh,costExpConv,2040,59.4,
heatpumpAirDh,costOprConv,2040,7.75,
eBoilerDh,costOprConv,2040,0.9603,
h2BoilerDh,avaConv,,0.982307692,
h2BoilerDh,effConv,,1.037857143,
h2BoilerDh,lifeConv,,25,
h2BoilerDh,costExpConv,2040,52,
h2BoilerDh,costOprConv,2040,1.872,
