technology_3,region_2,timestep_2,parameter,value,source
districtHeatSpace,AL,2025,lifeConv,25,"see techData -> spaceHeatData, assumed same values for gas and h2"
districtHeatSpace,AL,2030,lifeConv,25,
districtHeatSpace,AL,2035,lifeConv,25,
districtHeatSpace,AL,2040,lifeConv,25,
districtHeatSpace,AL,2045,lifeConv,25,
districtHeatSpace,AL,2050,lifeConv,25,
districtHeatSpace,AL,,effConv,0.9,
districtHeatSpace,AL,2025,costExpConv,103.7031,
districtHeatSpace,AL,2030,costExpConv,101.0927,
districtHeatSpace,AL,2035,costExpConv,98.4211,
districtHeatSpace,AL,2040,costExpConv,95.725,
districtHeatSpace,AL,2045,costExpConv,93.1602,
districtHeatSpace,AL,2050,costExpConv,90.5955,
districtHeatSpace,AL,2025,costOprConv,1.8452,
districtHeatSpace,AL,2030,costOprConv,1.8692,
districtHeatSpace,AL,2035,costOprConv,1.8365,
districtHeatSpace,AL,2040,costOprConv,1.8032,
districtHeatSpace,AL,2045,costOprConv,1.7677,
districtHeatSpace,AL,2050,costOprConv,1.7323,
heatpumpAirSpace,AL,2025,lifeConv,18.0987,
heatpumpAirSpace,AL,2030,lifeConv,18.0987,
heatpumpAirSpace,AL,2035,lifeConv,18.0987,
heatpumpAirSpace,AL,2040,lifeConv,18.0987,
heatpumpAirSpace,AL,2045,lifeConv,18.0987,
heatpumpAirSpace,AL,2050,lifeConv,18.0987,
heatpumpAirSpace,AL,2025,costExpConv,3147.5766,
heatpumpAirSpace,AL,2030,costExpConv,2989.2338,
heatpumpAirSpace,AL,2035,costExpConv,2926.9844,
heatpumpAirSpace,AL,2040,costExpConv,2866.5856,
heatpumpAirSpace,AL,2045,costExpConv,2780.8878,
heatpumpAirSpace,AL,2050,costExpConv,2695.1899,
heatpumpAirSpace,AL,2025,costOprConv,70.1942,
heatpumpAirSpace,AL,2030,costOprConv,72.4894,
heatpumpAirSpace,AL,2035,costOprConv,73.2264,
heatpumpAirSpace,AL,2040,costOprConv,73.9243,
heatpumpAirSpace,AL,2045,costOprConv,74.1379,
heatpumpAirSpace,AL,2050,costOprConv,74.3516,
heatpumpGroundSpace,AL,2025,lifeConv,20,
heatpumpGroundSpace,AL,2030,lifeConv,20,
