technology_1,technology_2,technology_3,timestep_2,timestep_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,source
battery,,lithiumBattery,2040,,costExpStIn,80.9,costOprStIn,1.21,costExpStSize,199.6,costOprStSize,2.99,
battery,,redoxBattery,2040,,costExpStIn,614,costOprStIn,9.21,costExpStSize,174.5,costOprStSize,2.62,
battery,,lithiumBattery,,2020,effStIn,0.927,effStOut,0.927,stDis,0.00009,,,
battery,,lithiumBattery,,2025,effStIn,0.934,effStOut,0.934,stDis,0.00007,,,
battery,,lithiumBattery,,2030,effStIn,0.937,effStOut,0.937,stDis,0.00006,,,
battery,,lithiumBattery,,2035,effStIn,0.94,effStOut,0.94,stDis,0.00006,,,
battery,,lithiumBattery,,2040,effStIn,0.943,effStOut,0.943,stDis,0.00005,,,
battery,,lithiumBattery,,2045,effStIn,0.946,effStOut,0.946,stDis,0.00005,,,
battery,,lithiumBattery,,2050,effStIn,0.949,effStOut,0.949,stDis,0.00004,,,
battery,,redoxBattery,,2020,effStIn,0.681,effStOut,0.681,stDis,0.00009,,,
battery,,redoxBattery,,2025,effStIn,0.702,effStOut,0.702,stDis,0.00007,,,
battery,,redoxBattery,,2030,effStIn,0.708,effStOut,0.708,stDis,0.00006,,,
battery,,redoxBattery,,2035,effStIn,0.713,effStOut,0.713,stDis,0.00006,,,
battery,,redoxBattery,,2040,effStIn,0.719,effStOut,0.719,stDis,0.00005,,,
battery,,redoxBattery,,2045,effStIn,0.724,effStOut,0.724,stDis,0.00005,,,
battery,,redoxBattery,,2050,effStIn,0.73,effStOut,0.73,stDis,0.00004,,,
battery,,,,,lifeStIn,18,,,,,,,
battery,,,,,lifeStOut,18,,,,,,,
battery,,,,,lifeStSize,18,,,,,,,
battery,,,,,stOutToStInFix,1,,,,,,,
battery,,,,,sizeToStOutLow,0.1,,,,,,,
battery,,,,,sizeToStOutUp,10,,,,,,,
stock,power,pumpedStorage,,,effStIn,0.9,,,,,,,
stock,power,pumpedStorage,,,effStOut,0.9,,,,,,,
