technology_1,technology_2,technology_3,mode,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type,technology_decomm,region_expansion,technology_convBalance,region_disaggregate,timestep_cyclic,technology_stBalance
battery,,lithiumBattery,,,,electricity,electricity,emerging,none,,,,4,ineq
battery,,redoxBattery,,,,electricity,electricity,emerging,none,,,,4,ineq
ccgt,ccgtH2,ccgtH2BackDh,,h2,electricity; districtHeat,,,mature,none,,,,,
ccgt,ccgtH2,ccgtH2Extract,onlyElec; elecAndHeat ,h2,electricity; districtHeat,,,mature,none,,,,,
heatpump,heatpumpAir,heatpumpAirSpace,,electricity,spaceHeat,,spaceHeat,mature,none,,,,4,ineq
heatpump,,heatpumpGroundSpace,,electricity,spaceHeat,,spaceHeat,mature,none,,,,4,ineq
heatpump,heatpumpAir,heatpumpAirDh,,electricity,districtHeat,,,mature,none,,,,,
miscSpaceHeat,,resistiveHeatSpace,,electricity,spaceHeat,,spaceHeat,mature,none,,,,4,ineq
networkHeat,heatGrid,districtHeatSpace,,districtHeat,spaceHeat,,,mature,none,,,,,
networkHeat,,eBoilerDh,,electricity,districtHeat,,,mature,none,,,,,
networkHeat,,h2BoilerDh,,h2,districtHeat,,,mature,none,,,,,
networkHeat,,largeWaterTank,,,,districtHeat,districtHeat,mature,none,,,,2,ineq
networkHeat,,pitThermalStorage,,,,districtHeat,districtHeat,mature,none,,,,2,ineq
ocgt,,ocgtH2,,h2,electricity,,,mature,none,,,,,
ocgt,,ocgtH2Chp,,h2,electricity; districtHeat,,,mature,none,,,,,
powerToX,electrolysis,alkElectrolysis,,electricity,h2; districtHeat,,,mature,none,,,,,
powerToX,electrolysis,pemElectrolysis,,electricity,h2; districtHeat,,,mature,none,,,,,
powerToX,h2Storage,h2StorageCavern,,,,h2,h2,mature,none,,,,2,ineq
powerToX,h2Storage,h2StorageTank,,,,h2,h2,mature,none,,,,4,ineq
powerToX,,pefc,,h2,electricity; districtHeat,,,mature,none,,,,,
solar,openspace_a,pvOpenspace_a,,,electricity,,,mature,none,4,,yes,,
solar,openspace_b,pvOpenspace_b,,,electricity,,,mature,none,4,,yes,,
solar,openspace_c,pvOpenspace_c,,,electricity,,,mature,none,4,,yes,,
solar,openspace_a,cspOpenspace_a,,,electricity,,,stock,none,4,,yes,,
solar,openspace_b,cspOpenspace_b,,,electricity,,,stock,none,4,,yes,,
solar,openspace_c,cspOpenspace_c,,,electricity,,,stock,none,4,,yes,,
solar,rooftopInd_a,pvInd_a,,,electricity,,,mature,none,4,,yes,,
solar,rooftopInd_b,pvInd_b,,,electricity,,,mature,none,4,,yes,,
solar,rooftopResi_a,pvResi_a,,,electricity,,,mature,none,4,,yes,,
solar,rooftopResi_a,solarThermalResi_a,,,spaceHeat,,spaceHeat,mature,none,4,,yes,4,ineq
solar,rooftopResi_b,pvResi_b,,,electricity,,,mature,none,4,,yes,,
solar,rooftopResi_b,solarThermalResi_b,,,spaceHeat,,spaceHeat,mature,none,4,,yes,4,ineq
stock,power,pumpedStorage,,,,electricity,electricity,stock,none,,,,2,ineq
stock,power,reservoir,,,,,electricity,stock,none,,,,2,ineq
stock,power,runOfRiver,,,electricity,,,stock,none,,,,,
wind,offshore,offshore_a,,,electricity,,,mature,none,4,,yes,,
wind,offshore,offshore_b,,,electricity,,,mature,none,4,,yes,,
wind,onshore,onshore_a,,,electricity,,,mature,none,4,,yes,,
wind,onshore,onshore_b,,,electricity,,,mature,none,4,,yes,,
wind,onshore,onshore_c,,,electricity,,,mature,none,4,,yes,,
