timestep_superordinate_expansion,timestep_dispatch,region_dispatch,carrier,technology,M,scenario,id,constraint
none,40th < 2040 < d001 < hh0001,EU < DE < de < 31DE,spaceHeat,heatpump < heatpumpAir < heatpumpAirSpace,none,none,1,"-10000 stLvl[none, 2040, hh0001, 31DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 6541.145898517241 stLvl[none, 2040, hh0006, 31DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stExtOut[none, 2040, hh0001, 31DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 10000 stIntIn[none, 2040, hh0001, 31DE, spaceHeat, heatpumpAirSpace, none, none, 1] == 0.0"
none,40th < 2040 < d001 < hh0001,EU < DE < de < 32DE,spaceHeat,heatpump < heatpumpAir < heatpumpAirSpace,none,none,1,"-10000 stLvl[none, 2040, hh0001, 32DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 6541.145898517241 stLvl[none, 2040, hh0006, 32DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stExtOut[none, 2040, hh0001, 32DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 10000 stIntIn[none, 2040, hh0001, 32DE, spaceHeat, heatpumpAirSpace, none, none, 1] == 0.0"
none,40th < 2040 < d001 < hh0001,EU < DE < de < 33DE,spaceHeat,heatpump < heatpumpAir < heatpumpAirSpace,none,none,1,"-10000 stLvl[none, 2040, hh0001, 33DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 6541.145898517241 stLvl[none, 2040, hh0006, 33DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stExtOut[none, 2040, hh0001, 33DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 10000 stIntIn[none, 2040, hh0001, 33DE, spaceHeat, heatpumpAirSpace, none, none, 1] == 0.0"
none,40th < 2040 < d001 < hh0001,EU < DE < de < 34DE,spaceHeat,heatpump < heatpumpAir < heatpumpAirSpace,none,none,1,"-10000 stLvl[none, 2040, hh0001, 34DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 6541.145898517241 stLvl[none, 2040, hh0006, 34DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stExtOut[none, 2040, hh0001, 34DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 10000 stIntIn[none, 2040, hh0001, 34DE, spaceHeat, heatpumpAirSpace, none, none, 1] == 0.0"
none,40th < 2040 < d001 < hh0001,EU < DE < de < 35DE,spaceHeat,heatpump < heatpumpAir < heatpumpAirSpace,none,none,1,"-10000 stLvl[none, 2040, hh0001, 35DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 6541.145898517241 stLvl[none, 2040, hh0006, 35DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stExtOut[none, 2040, hh0001, 35DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 10000 stIntIn[none, 2040, hh0001, 35DE, spaceHeat, heatpumpAirSpace, none, none, 1] == 0.0"
none,40th < 2040 < d001 < hh0001,EU < DE < de < 36DE,spaceHeat,heatpump < heatpumpAir < heatpumpAirSpace,none,none,1,"-10000 stLvl[none, 2040, hh0001, 36DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 6541.145898517241 stLvl[none, 2040, hh0006, 36DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stExtOut[none, 2040, hh0001, 36DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 10000 stIntIn[none, 2040, hh0001, 36DE, spaceHeat, heatpumpAirSpace, none, none, 1] == 0.0"
none,40th < 2040 < d001 < hh0001,EU < DE < de < 37DE,spaceHeat,heatpump < heatpumpAir < heatpumpAirSpace,none,none,1,"-10000 stLvl[none, 2040, hh0001, 37DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 6541.145898517241 stLvl[none, 2040, hh0006, 37DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stExtOut[none, 2040, hh0001, 37DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 10000 stIntIn[none, 2040, hh0001, 37DE, spaceHeat, heatpumpAirSpace, none, none, 1] == 0.0"
none,40th < 2040 < d001 < hh0002,EU < DE < de < 31DE,spaceHeat,heatpump < heatpumpAir < heatpumpAirSpace,none,none,1,"6541.145898517241 stLvl[none, 2040, hh0001, 31DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stLvl[none, 2040, hh0002, 31DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stExtOut[none, 2040, hh0002, 31DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 10000 stIntIn[none, 2040, hh0002, 31DE, spaceHeat, heatpumpAirSpace, none, none, 1] == 0.0"
none,40th < 2040 < d001 < hh0002,EU < DE < de < 32DE,spaceHeat,heatpump < heatpumpAir < heatpumpAirSpace,none,none,1,"6541.145898517241 stLvl[none, 2040, hh0001, 32DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stLvl[none, 2040, hh0002, 32DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stExtOut[none, 2040, hh0002, 32DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 10000 stIntIn[none, 2040, hh0002, 32DE, spaceHeat, heatpumpAirSpace, none, none, 1] == 0.0"
none,40th < 2040 < d001 < hh0002,EU < DE < de < 33DE,spaceHeat,heatpump < heatpumpAir < heatpumpAirSpace,none,none,1,"6541.145898517241 stLvl[none, 2040, hh0001, 33DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stLvl[none, 2040, hh0002, 33DE, spaceHeat, heatpumpAirSpace, none, none, 1] - 10000 stExtOut[none, 2040, hh0002, 33DE, spaceHeat, heatpumpAirSpace, none, none, 1] + 10000 stIntIn[none, 2040, hh0002, 33DE, spaceHeat, heatpumpAirSpace, none, none, 1] == 0.0"
