errStatus,section,location,message
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '04ES (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '05ES (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '06ES (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '11ES (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '12PT (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '13PT (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '16FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '19FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '24FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '30NL (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '38DK (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '41PL (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '44PL (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '59RO (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '60RO (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '63BA (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '68GR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '70AL (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '91UK (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '92UK (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '93UK (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '95UK (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '01ES (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '02ES (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '03ES (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '07ES (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '08ES (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '09ES (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '10ES (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '14FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '15FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '17FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '18FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '20FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '21FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '22FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '23FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '25FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '26FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '27FR (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '28BE (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '29LU (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '39CZ (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '40CZ (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '42PL (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '43PL (lvl 4)'
yellow,parameter read-in,_basis/gasSector/par_cavernPotential.csv,values provided for undefined set '45PL (lvl 4)'
