timestep_superordinate_dispatch,region_dispatch,technology,carrier,id,variable,value,objName
40th < 2040,EU < DE < de,none,electricity,none,demand,-480.6669290346002,
40th < 2040,EU < DE < de < 31DE,none,spaceHeat,none,missCapa,5.405093736221888e-9,
40th < 2040,EU < DE < de < 32DE,none,spaceHeat,none,missCapa,3.7091204020028274e-9,
40th < 2040,EU < DE < de < 33DE,none,spaceHeat,none,missCapa,5.324158732814037e-9,
40th < 2040,EU < DE < de < 34DE,none,spaceHeat,none,missCapa,4.302885610723325e-9,
40th < 2040,EU < DE < de < 35DE,none,spaceHeat,none,missCapa,4.536394790313593e-9,
40th < 2040,EU < DE < de < 36DE,none,spaceHeat,none,missCapa,4.198769048350772e-9,
40th < 2040,EU < DE < de < 37DE,none,spaceHeat,none,missCapa,6.198189314429716e-9,
40th < 2040,EU < DE < de,stock < power < pumpedStorage,none,1,capaStOut,10.23,
40th < 2040,EU < DE < de,stock < power < pumpedStorage,none,1,capaStSize,79.615044905,
40th < 2040,EU < DE < de,stock < power < pumpedStorage,none,1,capaStIn,10.23,
40th < 2040,EU < DE < de < 31DE,solar < openspace_b < pvOpenspace_b,none,none,expConv,11.337604676471948,
40th < 2040,EU < DE < de < 32DE,solar < openspace_b < pvOpenspace_b,none,none,expConv,0.00039491751970043216,
40th < 2040,EU < DE < de < 33DE,solar < openspace_b < pvOpenspace_b,none,none,expConv,17.434948121518442,
40th < 2040,EU < DE < de < 34DE,solar < openspace_b < pvOpenspace_b,none,none,expConv,0.0004946869843874284,
40th < 2040,EU < DE < de < 35DE,solar < openspace_b < pvOpenspace_b,none,none,expConv,10.220913602534125,
40th < 2040,EU < DE < de < 36DE,solar < openspace_b < pvOpenspace_b,none,none,expConv,4.7490048334696455,
40th < 2040,EU < DE < de < 37DE,solar < openspace_b < pvOpenspace_b,none,none,expConv,11.906475369875926,
40th < 2040,EU < DE < de < 31DE,solar < openspace_b < pvOpenspace_b,none,none,capaConv,11.33760467647195,
40th < 2040,EU < DE < de < 32DE,solar < openspace_b < pvOpenspace_b,none,none,capaConv,0.00039491751970043216,
40th < 2040,EU < DE < de < 33DE,solar < openspace_b < pvOpenspace_b,none,none,capaConv,17.434948121518442,
40th < 2040,EU < DE < de < 34DE,solar < openspace_b < pvOpenspace_b,none,none,capaConv,0.0004946869843874284,
40th < 2040,EU < DE < de < 35DE,solar < openspace_b < pvOpenspace_b,none,none,capaConv,10.220913602534125,
40th < 2040,EU < DE < de < 36DE,solar < openspace_b < pvOpenspace_b,none,none,capaConv,4.7490048334696455,
40th < 2040,EU < DE < de < 37DE,solar < openspace_b < pvOpenspace_b,none,none,capaConv,11.906475369875928,
40th < 2040,EU < DE < de < 31DE,powerToX < electrolysis < pemElectrolysis,none,none,expConv,2.5247451567144657e-5,
40th < 2040,EU < DE < de < 32DE,powerToX < electrolysis < pemElectrolysis,none,none,expConv,2.483012971314744e-5,
40th < 2040,EU < DE < de < 33DE,powerToX < electrolysis < pemElectrolysis,none,none,expConv,2.520755571232982e-5,
40th < 2040,EU < DE < de < 34DE,powerToX < electrolysis < pemElectrolysis,none,none,expConv,2.484702644905358e-5,
40th < 2040,EU < DE < de < 35DE,powerToX < electrolysis < pemElectrolysis,none,none,expConv,2.5367636001293937e-5,
40th < 2040,EU < DE < de < 36DE,powerToX < electrolysis < pemElectrolysis,none,none,expConv,1.9439425549833088e-5,
40th < 2040,EU < DE < de < 37DE,powerToX < electrolysis < pemElectrolysis,none,none,expConv,1.9663443742181967e-5,
40th < 2040,EU < DE < de < 31DE,powerToX < electrolysis < pemElectrolysis,none,none,capaConv,2.5247451567144657e-5,
40th < 2040,EU < DE < de < 32DE,powerToX < electrolysis < pemElectrolysis,none,none,capaConv,2.483012971314744e-5,
40th < 2040,EU < DE < de < 33DE,powerToX < electrolysis < pemElectrolysis,none,none,capaConv,2.520755571232982e-5,
40th < 2040,EU < DE < de < 34DE,powerToX < electrolysis < pemElectrolysis,none,none,capaConv,2.484702644905358e-5,
40th < 2040,EU < DE < de < 35DE,powerToX < electrolysis < pemElectrolysis,none,none,capaConv,2.536763600129394e-5,
40th < 2040,EU < DE < de < 36DE,powerToX < electrolysis < pemElectrolysis,none,none,capaConv,1.9439425549833088e-5,
40th < 2040,EU < DE < de < 37DE,powerToX < electrolysis < pemElectrolysis,none,none,capaConv,1.9663443742181967e-5,
