timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0025,AT,scr7,electricity,dem,5.78873065019729
h0026,AT,scr7,electricity,dem,5.64447103481267
h0027,AT,scr7,electricity,dem,5.49353834250498
h0028,AT,scr7,electricity,dem,5.58502735349399
h0029,AT,scr7,electricity,dem,6.08316334250498
h0030,AT,scr7,electricity,dem,6.8309957600874
h0031,AT,scr7,electricity,dem,7.68446141942806
h0032,AT,scr7,electricity,dem,8.03851224360388
h0033,AT,scr7,electricity,dem,8.19681581503246
h0034,AT,scr7,electricity,dem,8.27921279305443
h0035,AT,scr7,electricity,dem,8.28524988096652
h0036,AT,scr7,electricity,dem,8.07812350734015
h0037,AT,scr7,electricity,dem,7.95195867217531
h0038,AT,scr7,electricity,dem,7.8523240567907
h0039,AT,scr7,electricity,dem,7.85206032052696
h0040,AT,scr7,electricity,dem,8.03910702382366
h0041,AT,scr7,electricity,dem,8.38282543041707
h0042,AT,scr7,electricity,dem,8.36373202382366
h0043,AT,scr7,electricity,dem,7.8753968589885
h0044,AT,scr7,electricity,dem,7.38119218865883
h0045,AT,scr7,electricity,dem,6.86960152931817
h0046,AT,scr7,electricity,dem,6.8116674633841
h0047,AT,scr7,electricity,dem,6.36692982602146
h0048,AT,scr7,electricity,dem,6.04538312272476
