timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0025,BE,scr7,electricity,dem,8.71309596337736
h0026,BE,scr7,electricity,dem,8.35013442491583
h0027,BE,scr7,electricity,dem,8.1380368974433
h0028,BE,scr7,electricity,dem,8.12025805128945
h0029,BE,scr7,electricity,dem,8.43048057876198
h0030,BE,scr7,electricity,dem,9.24926491942131
h0031,BE,scr7,electricity,dem,9.92819898535538
h0032,BE,scr7,electricity,dem,10.3247292051356
h0033,BE,scr7,electricity,dem,10.5761454139268
h0034,BE,scr7,electricity,dem,10.6957003589818
h0035,BE,scr7,electricity,dem,10.809186622718
h0036,BE,scr7,electricity,dem,10.6415107985422
h0037,BE,scr7,electricity,dem,10.5488184908499
h0038,BE,scr7,electricity,dem,10.3926371721686
h0039,BE,scr7,electricity,dem,10.3454970622785
h0040,BE,scr7,electricity,dem,10.3986605238169
h0041,BE,scr7,electricity,dem,10.868616567773
h0042,BE,scr7,electricity,dem,11.0961412930477
h0043,BE,scr7,electricity,dem,10.7306783809598
h0044,BE,scr7,electricity,dem,10.2077113479927
h0045,BE,scr7,electricity,dem,9.67985008425648
h0046,BE,scr7,electricity,dem,9.79168524909165
h0047,BE,scr7,electricity,dem,9.75413305128945
h0048,BE,scr7,electricity,dem,9.17708497436637
