timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0049,FR,scr13,electricity,dem,63.0835991743476
h0050,FR,scr13,electricity,dem,61.5941870864355
h0051,FR,scr13,electricity,dem,58.8379123611608
h0052,FR,scr13,electricity,dem,57.852247525996
h0053,FR,scr13,electricity,dem,59.7212749985234
h0054,FR,scr13,electricity,dem,63.9903244490729
h0055,FR,scr13,electricity,dem,68.4488299435784
h0056,FR,scr13,electricity,dem,70.4540497237982
h0057,FR,scr13,electricity,dem,71.6041596139081
h0058,FR,scr13,electricity,dem,71.8310552183036
h0059,FR,scr13,electricity,dem,71.9095442292927
h0060,FR,scr13,electricity,dem,71.9724013721498
h0061,FR,scr13,electricity,dem,70.2429837897322
h0062,FR,scr13,electricity,dem,68.1670771963256
h0063,FR,scr13,electricity,dem,66.180236536985
h0064,FR,scr13,electricity,dem,65.6197530205015
h0065,FR,scr13,electricity,dem,67.9675662073147
h0066,FR,scr13,electricity,dem,72.2382310424795
h0067,FR,scr13,electricity,dem,73.1486980754465
h0068,FR,scr13,electricity,dem,69.8460552183037
h0069,FR,scr13,electricity,dem,66.5098684051168
h0070,FR,scr13,electricity,dem,66.9006101633586
h0071,FR,scr13,electricity,dem,67.9971870864356
h0072,FR,scr13,electricity,dem,65.3153848886334
