timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0073,DE,scr11,electricity,dem,49.3667490411051
h0074,DE,scr11,electricity,dem,48.415972942204
h0075,DE,scr11,electricity,dem,48.4610100301162
h0076,DE,scr11,electricity,dem,49.3032833817645
h0077,DE,scr11,electricity,dem,51.2497353048414
h0078,DE,scr11,electricity,dem,56.2367929971491
h0079,DE,scr11,electricity,dem,61.4312929971491
h0080,DE,scr11,electricity,dem,64.1734660740722
h0081,DE,scr11,electricity,dem,65.5464660740721
h0082,DE,scr11,electricity,dem,66.8406254147315
h0083,DE,scr11,electricity,dem,67.8324344806656
h0084,DE,scr11,electricity,dem,67.3480292608853
h0085,DE,scr11,electricity,dem,66.1671858542919
h0086,DE,scr11,electricity,dem,64.9451597553908
h0087,DE,scr11,electricity,dem,64.3378355795667
h0088,DE,scr11,electricity,dem,64.7924962938524
h0089,DE,scr11,electricity,dem,67.2328232169293
h0090,DE,scr11,electricity,dem,68.0294001400062
h0091,DE,scr11,electricity,dem,66.5970594806656
h0092,DE,scr11,electricity,dem,62.9869386015447
h0093,DE,scr11,electricity,dem,60.0466364037425
h0094,DE,scr11,electricity,dem,58.2254894257205
h0095,DE,scr11,electricity,dem,54.4671020630831
h0096,DE,scr11,electricity,dem,51.3464440960502
