timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0049,NL,scr13,electricity,dem,11.0247156584901
h0050,NL,scr13,electricity,dem,10.7022596145341
h0051,NL,scr13,electricity,dem,10.5756456035451
h0052,NL,scr13,electricity,dem,10.6177719771714
h0053,NL,scr13,electricity,dem,11.0169642848637
h0054,NL,scr13,electricity,dem,12.1889642848637
h0055,NL,scr13,electricity,dem,13.994847526622
h0056,NL,scr13,electricity,dem,15.2586799442044
h0057,NL,scr13,electricity,dem,15.8544299442044
h0058,NL,scr13,electricity,dem,16.0393791200286
h0059,NL,scr13,electricity,dem,16.045755493655
h0060,NL,scr13,electricity,dem,15.8875961529956
h0061,NL,scr13,electricity,dem,15.8453502738747
h0062,NL,scr13,electricity,dem,15.7590247244242
h0063,NL,scr13,electricity,dem,15.7519807683802
h0064,NL,scr13,electricity,dem,16.0790892848637
h0065,NL,scr13,electricity,dem,16.8508598892593
h0066,NL,scr13,electricity,dem,16.5774464277209
h0067,NL,scr13,electricity,dem,16.0556373617868
h0068,NL,scr13,electricity,dem,15.2796662079407
h0069,NL,scr13,electricity,dem,14.3383626365121
h0070,NL,scr13,electricity,dem,13.3235013727758
h0071,NL,scr13,electricity,dem,12.3993131859626
h0072,NL,scr13,electricity,dem,11.5870714277209
