timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0001,CH,scr11,electricity,dem,6.94216632470473
h0002,CH,scr11,electricity,dem,6.98711687415528
h0003,CH,scr11,electricity,dem,7.01114984118824
h0004,CH,scr11,electricity,dem,7.04506192910033
h0005,CH,scr11,electricity,dem,6.94558390712231
h0006,CH,scr11,electricity,dem,7.04218280822121
h0007,CH,scr11,electricity,dem,7.20934214888055
h0008,CH,scr11,electricity,dem,7.61730918184758
h0009,CH,scr11,electricity,dem,7.93512236866077
h0010,CH,scr11,electricity,dem,8.02980918184758
h0011,CH,scr11,electricity,dem,8.09025973129814
h0012,CH,scr11,electricity,dem,8.03953995107835
h0013,CH,scr11,electricity,dem,7.91243555547396
h0014,CH,scr11,electricity,dem,7.91775973129813
h0015,CH,scr11,electricity,dem,7.81412786316627
h0016,CH,scr11,electricity,dem,7.75660588514429
h0017,CH,scr11,electricity,dem,7.82352896206736
h0018,CH,scr11,electricity,dem,8.00912786316626
h0019,CH,scr11,electricity,dem,8.12294104997945
h0020,CH,scr11,electricity,dem,7.8760014895399
h0021,CH,scr11,electricity,dem,7.48512236866077
h0022,CH,scr11,electricity,dem,7.22571577525417
h0023,CH,scr11,electricity,dem,7.16564984118824
h0024,CH,scr11,electricity,dem,7.00773775327615
