timestep_4,region_1,scenario_1,carrier_1,parameter,value
h2209,LU,scr4,electricity,dem,0.394091287989842
h2210,LU,scr4,electricity,dem,0.383471782495337
h2211,LU,scr4,electricity,dem,0.380606397879952
h2212,LU,scr4,electricity,dem,0.386528101176656
h2213,LU,scr4,electricity,dem,0.391497881396436
h2214,LU,scr4,electricity,dem,0.409045958319513
h2215,LU,scr4,electricity,dem,0.43371903524259
h2216,LU,scr4,electricity,dem,0.460235518759073
h2217,LU,scr4,electricity,dem,0.482370134143689
h2218,LU,scr4,electricity,dem,0.494772606671161
h2219,LU,scr4,electricity,dem,0.499566562715117
h2220,LU,scr4,electricity,dem,0.494702551726106
h2221,LU,scr4,electricity,dem,0.484286342934898
h2222,LU,scr4,electricity,dem,0.470916837440392
h2223,LU,scr4,electricity,dem,0.462898980297535
h2224,LU,scr4,electricity,dem,0.461742386890941
h2225,LU,scr4,electricity,dem,0.469315189088744
h2226,LU,scr4,electricity,dem,0.480462167110722
h2227,LU,scr4,electricity,dem,0.487099529748084
h2228,LU,scr4,electricity,dem,0.478489639638194
h2229,LU,scr4,electricity,dem,0.467589914363469
h2230,LU,scr4,electricity,dem,0.459293211066766
h2231,LU,scr4,electricity,dem,0.441831672605227
h2232,LU,scr4,electricity,dem,0.416252002275557
h2233,LU,scr4,electricity,dem,0.353585830170842
h2234,LU,scr4,electricity,dem,0.342966324676337
h2235,LU,scr4,electricity,dem,0.340100940060952
h2236,LU,scr4,electricity,dem,0.346022643357655
h2237,LU,scr4,electricity,dem,0.350992423577436
h2238,LU,scr4,electricity,dem,0.368540500500513
h2239,LU,scr4,electricity,dem,0.39321357742359
h2240,LU,scr4,electricity,dem,0.419730060940073
h2241,LU,scr4,electricity,dem,0.441864676324689
h2242,LU,scr4,electricity,dem,0.454267148852161
h2243,LU,scr4,electricity,dem,0.459061104896117
h2244,LU,scr4,electricity,dem,0.454197093907106
h2245,LU,scr4,electricity,dem,0.443780885115897
h2246,LU,scr4,electricity,dem,0.430411379621392
h2247,LU,scr4,electricity,dem,0.422393522478535
h2248,LU,scr4,electricity,dem,0.421236929071941
h2249,LU,scr4,electricity,dem,0.428809731269744
h2250,LU,scr4,electricity,dem,0.439956709291721
h2251,LU,scr4,electricity,dem,0.446594071929084
h2252,LU,scr4,electricity,dem,0.437984181819194
h2253,LU,scr4,electricity,dem,0.427084456544469
h2254,LU,scr4,electricity,dem,0.418787753247766
h2255,LU,scr4,electricity,dem,0.401326214786227
h2256,LU,scr4,electricity,dem,0.375746544456557
h2257,LU,scr4,electricity,dem,0.438872274036842
h2258,LU,scr4,electricity,dem,0.428252768542337
h2259,LU,scr4,electricity,dem,0.425387383926952
h2260,LU,scr4,electricity,dem,0.431309087223656
h2261,LU,scr4,electricity,dem,0.436278867443436
h2262,LU,scr4,electricity,dem,0.453826944366513
h2263,LU,scr4,electricity,dem,0.47850002128959
h2264,LU,scr4,electricity,dem,0.505016504806073
h2265,LU,scr4,electricity,dem,0.527151120190689
h2266,LU,scr4,electricity,dem,0.539553592718161
h2267,LU,scr4,electricity,dem,0.544347548762117
h2268,LU,scr4,electricity,dem,0.539483537773106
h2269,LU,scr4,electricity,dem,0.529067328981897
h2270,LU,scr4,electricity,dem,0.515697823487392
h2271,LU,scr4,electricity,dem,0.507679966344535
h2272,LU,scr4,electricity,dem,0.506523372937941
h2273,LU,scr4,electricity,dem,0.514096175135744
h2274,LU,scr4,electricity,dem,0.525243153157722
h2275,LU,scr4,electricity,dem,0.531880515795084
