timestep_4,region_1,scenario_1,carrier_1,parameter,value
h2209,CH,scr1,electricity,dem,6.14192576282964
h2210,CH,scr1,electricity,dem,6.183063125467
h2211,CH,scr1,electricity,dem,6.22529389469777
h2212,CH,scr1,electricity,dem,6.15287631228019
h2213,CH,scr1,electricity,dem,6.21484883975271
h2214,CH,scr1,electricity,dem,6.39811807052194
h2215,CH,scr1,electricity,dem,6.75330488370875
h2216,CH,scr1,electricity,dem,7.05992576282964
h2217,CH,scr1,electricity,dem,7.22540927931315
h2218,CH,scr1,electricity,dem,7.33698070788458
h2219,CH,scr1,electricity,dem,7.4585576309615
h2220,CH,scr1,electricity,dem,7.2858598287637
h2221,CH,scr1,electricity,dem,7.21771697162084
h2222,CH,scr1,electricity,dem,7.15394224634612
h2223,CH,scr1,electricity,dem,7.05094774085161
h2224,CH,scr1,electricity,dem,6.96382136722523
h2225,CH,scr1,electricity,dem,6.86959609249997
h2226,CH,scr1,electricity,dem,6.79390378480766
h2227,CH,scr1,electricity,dem,6.78728840019227
h2228,CH,scr1,electricity,dem,6.79421147711535
h2229,CH,scr1,electricity,dem,6.64552466392853
h2230,CH,scr1,electricity,dem,6.46130488370875
h2231,CH,scr1,electricity,dem,6.2178598287637
h2232,CH,scr1,electricity,dem,6.13764554304942
h2233,CH,scr1,electricity,dem,5.94235939100964
h2234,CH,scr1,electricity,dem,5.983496753647
h2235,CH,scr1,electricity,dem,6.02572752287777
h2236,CH,scr1,electricity,dem,5.95330994046018
h2237,CH,scr1,electricity,dem,6.01528246793271
h2238,CH,scr1,electricity,dem,6.19855169870194
h2239,CH,scr1,electricity,dem,6.55373851188875
h2240,CH,scr1,electricity,dem,6.86035939100964
h2241,CH,scr1,electricity,dem,7.02584290749315
h2242,CH,scr1,electricity,dem,7.13741433606458
h2243,CH,scr1,electricity,dem,7.2589912591415
h2244,CH,scr1,electricity,dem,7.0862934569437
h2245,CH,scr1,electricity,dem,7.01815059980084
h2246,CH,scr1,electricity,dem,6.95437587452612
h2247,CH,scr1,electricity,dem,6.85138136903161
h2248,CH,scr1,electricity,dem,6.76425499540523
h2249,CH,scr1,electricity,dem,6.67002972067997
h2250,CH,scr1,electricity,dem,6.59433741298766
h2251,CH,scr1,electricity,dem,6.58772202837227
h2252,CH,scr1,electricity,dem,6.59464510529535
h2253,CH,scr1,electricity,dem,6.44595829210853
h2254,CH,scr1,electricity,dem,6.26173851188875
h2255,CH,scr1,electricity,dem,6.0182934569437
h2256,CH,scr1,electricity,dem,5.93807917122942
h2257,CH,scr1,electricity,dem,5.82947380556964
h2258,CH,scr1,electricity,dem,5.870611168207
h2259,CH,scr1,electricity,dem,5.91284193743777
h2260,CH,scr1,electricity,dem,5.84042435502018
h2261,CH,scr1,electricity,dem,5.90239688249271
h2262,CH,scr1,electricity,dem,6.08566611326194
h2263,CH,scr1,electricity,dem,6.44085292644875
h2264,CH,scr1,electricity,dem,6.74747380556964
h2265,CH,scr1,electricity,dem,6.91295732205315
h2266,CH,scr1,electricity,dem,7.02452875062458
h2267,CH,scr1,electricity,dem,7.1461056737015
h2268,CH,scr1,electricity,dem,6.9734078715037
h2269,CH,scr1,electricity,dem,6.90526501436084
h2270,CH,scr1,electricity,dem,6.84149028908612
h2271,CH,scr1,electricity,dem,6.73849578359161
h2272,CH,scr1,electricity,dem,6.65136940996523
h2273,CH,scr1,electricity,dem,6.55714413523997
h2274,CH,scr1,electricity,dem,6.48145182754766
h2275,CH,scr1,electricity,dem,6.47483644293227
h2276,CH,scr1,electricity,dem,6.48175951985535
h2277,CH,scr1,electricity,dem,6.33307270666853
h2278,CH,scr1,electricity,dem,6.14885292644875
h2279,CH,scr1,electricity,dem,5.9054078715037
h2280,CH,scr1,electricity,dem,5.82519358578942
h2281,CH,scr1,electricity,dem,6.54915979930964
h2282,CH,scr1,electricity,dem,6.590297161947
h2283,CH,scr1,electricity,dem,6.63252793117777
h2284,CH,scr1,electricity,dem,6.56011034876019
h2285,CH,scr1,electricity,dem,6.62208287623271
h2286,CH,scr1,electricity,dem,6.80535210700194
h2287,CH,scr1,electricity,dem,7.16053892018875
h2288,CH,scr1,electricity,dem,7.46715979930964
h2289,CH,scr1,electricity,dem,7.63264331579315
h2290,CH,scr1,electricity,dem,7.74421474436458
h2291,CH,scr1,electricity,dem,7.8657916674415
h2292,CH,scr1,electricity,dem,7.6930938652437
h2293,CH,scr1,electricity,dem,7.62495100810084
h2294,CH,scr1,electricity,dem,7.56117628282612
h2295,CH,scr1,electricity,dem,7.45818177733161
h2296,CH,scr1,electricity,dem,7.37105540370524
h2297,CH,scr1,electricity,dem,7.27683012897997
h2298,CH,scr1,electricity,dem,7.20113782128766
h2299,CH,scr1,electricity,dem,7.19452243667227
h2300,CH,scr1,electricity,dem,7.20144551359535
h2301,CH,scr1,electricity,dem,7.05275870040853
h2302,CH,scr1,electricity,dem,6.86853892018876
h2303,CH,scr1,electricity,dem,6.6250938652437
h2304,CH,scr1,electricity,dem,6.54487957952942
h2305,CH,scr1,electricity,dem,6.67693957894964
h2306,CH,scr1,electricity,dem,6.718076941587
h2307,CH,scr1,electricity,dem,6.76030771081777
h2308,CH,scr1,electricity,dem,6.68789012840019
h2309,CH,scr1,electricity,dem,6.74986265587271
h2310,CH,scr1,electricity,dem,6.93313188664194
h2311,CH,scr1,electricity,dem,7.28831869982875
h2312,CH,scr1,electricity,dem,7.59493957894964
h2313,CH,scr1,electricity,dem,7.76042309543315
h2314,CH,scr1,electricity,dem,7.87199452400458
h2315,CH,scr1,electricity,dem,7.9935714470815
h2316,CH,scr1,electricity,dem,7.8208736448837
h2317,CH,scr1,electricity,dem,7.75273078774084
h2318,CH,scr1,electricity,dem,7.68895606246612
h2319,CH,scr1,electricity,dem,7.58596155697161
h2320,CH,scr1,electricity,dem,7.49883518334524
h2321,CH,scr1,electricity,dem,7.40460990861997
h2322,CH,scr1,electricity,dem,7.32891760092766
h2323,CH,scr1,electricity,dem,7.32230221631227
