timestep_4,region_1,scenario_1,technology_1,parameter,value
h2209,CH,scr4,solar,avaConv,0.0
h2210,CH,scr4,solar,avaConv,0.0
h2211,CH,scr4,solar,avaConv,0.0
h2212,CH,scr4,solar,avaConv,0.0
h2213,CH,scr4,solar,avaConv,-5.55126861441814e-8
h2214,CH,scr4,solar,avaConv,0.0145836273028638
h2215,CH,scr4,solar,avaConv,0.0929153771568259
h2216,CH,scr4,solar,avaConv,0.240801815101135
h2217,CH,scr4,solar,avaConv,0.440989524279888
h2218,CH,scr4,solar,avaConv,0.58433587711049
h2219,CH,scr4,solar,avaConv,0.696876352506157
h2220,CH,scr4,solar,avaConv,0.755477793184928
h2221,CH,scr4,solar,avaConv,0.735967806252704
h2222,CH,scr4,solar,avaConv,0.654623366320148
h2223,CH,scr4,solar,avaConv,0.51480909173032
h2224,CH,scr4,solar,avaConv,0.34322014196795
h2225,CH,scr4,solar,avaConv,0.161606000197526
h2226,CH,scr4,solar,avaConv,0.026133716916698
h2227,CH,scr4,solar,avaConv,0.0
h2228,CH,scr4,solar,avaConv,0.0
h2229,CH,scr4,solar,avaConv,0.0
h2230,CH,scr4,solar,avaConv,0.0
h2231,CH,scr4,solar,avaConv,0.0
h2232,CH,scr4,solar,avaConv,0.0
h2233,CH,scr4,solar,avaConv,0.0
h2234,CH,scr4,solar,avaConv,0.0
h2235,CH,scr4,solar,avaConv,0.0
h2236,CH,scr4,solar,avaConv,0.0
h2237,CH,scr4,solar,avaConv,-6.51437065246658e-7
h2238,CH,scr4,solar,avaConv,0.0333842616158679
h2239,CH,scr4,solar,avaConv,0.177175928272142
h2240,CH,scr4,solar,avaConv,0.370754369517898
h2241,CH,scr4,solar,avaConv,0.556278898425524
h2242,CH,scr4,solar,avaConv,0.693585065980636
h2243,CH,scr4,solar,avaConv,0.773704551259258
h2244,CH,scr4,solar,avaConv,0.797702129198873
h2245,CH,scr4,solar,avaConv,0.764090769762597
h2246,CH,scr4,solar,avaConv,0.677158886581188
h2247,CH,scr4,solar,avaConv,0.545993520578573
h2248,CH,scr4,solar,avaConv,0.378199236160044
h2249,CH,scr4,solar,avaConv,0.194049647478993
h2250,CH,scr4,solar,avaConv,0.0360556570277774
h2251,CH,scr4,solar,avaConv,-1.21531874954857e-7
h2252,CH,scr4,solar,avaConv,0.0
h2253,CH,scr4,solar,avaConv,0.0
h2254,CH,scr4,solar,avaConv,0.0
h2255,CH,scr4,solar,avaConv,0.0
h2256,CH,scr4,solar,avaConv,0.0
h2257,CH,scr4,solar,avaConv,0.0
h2258,CH,scr4,solar,avaConv,0.0
h2259,CH,scr4,solar,avaConv,0.0
h2260,CH,scr4,solar,avaConv,0.0
h2261,CH,scr4,solar,avaConv,-1.08319647049237e-6
h2262,CH,scr4,solar,avaConv,0.0409092324833995
h2263,CH,scr4,solar,avaConv,0.190308430086443
h2264,CH,scr4,solar,avaConv,0.359855187299578
h2265,CH,scr4,solar,avaConv,0.510947782770744
h2266,CH,scr4,solar,avaConv,0.626048251516764
h2267,CH,scr4,solar,avaConv,0.684022482536033
h2268,CH,scr4,solar,avaConv,0.680444075915152
h2269,CH,scr4,solar,avaConv,0.611895306225348
h2270,CH,scr4,solar,avaConv,0.486718794283041
h2271,CH,scr4,solar,avaConv,0.335254238805609
h2272,CH,scr4,solar,avaConv,0.206044208524436
h2273,CH,scr4,solar,avaConv,0.09908254116522
h2274,CH,scr4,solar,avaConv,0.0203987250811675
h2275,CH,scr4,solar,avaConv,-4.46577403924053e-7
h2276,CH,scr4,solar,avaConv,0.0
h2277,CH,scr4,solar,avaConv,0.0
h2278,CH,scr4,solar,avaConv,0.0
h2279,CH,scr4,solar,avaConv,0.0
h2280,CH,scr4,solar,avaConv,0.0
h2281,CH,scr4,solar,avaConv,0.0
h2282,CH,scr4,solar,avaConv,0.0
h2283,CH,scr4,solar,avaConv,0.0
h2284,CH,scr4,solar,avaConv,0.0
h2285,CH,scr4,solar,avaConv,1.63857053411225e-7
h2286,CH,scr4,solar,avaConv,0.0386177686666635
h2287,CH,scr4,solar,avaConv,0.169595853991819
h2288,CH,scr4,solar,avaConv,0.3112939771952
h2289,CH,scr4,solar,avaConv,0.419430076853751
h2290,CH,scr4,solar,avaConv,0.499205057651574
h2291,CH,scr4,solar,avaConv,0.572466109410554
h2292,CH,scr4,solar,avaConv,0.60452784363556
h2293,CH,scr4,solar,avaConv,0.556074927186947
h2294,CH,scr4,solar,avaConv,0.435509420514479
h2295,CH,scr4,solar,avaConv,0.283524381080059
h2296,CH,scr4,solar,avaConv,0.139745834518414
h2297,CH,scr4,solar,avaConv,0.060758960753317
h2298,CH,scr4,solar,avaConv,0.0138785396900633
h2299,CH,scr4,solar,avaConv,-9.04875643876824e-7
h2300,CH,scr4,solar,avaConv,0.0
h2301,CH,scr4,solar,avaConv,0.0
h2302,CH,scr4,solar,avaConv,0.0
h2303,CH,scr4,solar,avaConv,0.0
h2304,CH,scr4,solar,avaConv,0.0
h2305,CH,scr4,solar,avaConv,0.0
h2306,CH,scr4,solar,avaConv,0.0
h2307,CH,scr4,solar,avaConv,0.0
h2308,CH,scr4,solar,avaConv,0.0
h2309,CH,scr4,solar,avaConv,-1.86092126837284e-6
h2310,CH,scr4,solar,avaConv,0.0171440323535865
h2311,CH,scr4,solar,avaConv,0.10350577892618
h2312,CH,scr4,solar,avaConv,0.237136630392486
h2313,CH,scr4,solar,avaConv,0.389010517609772
h2314,CH,scr4,solar,avaConv,0.490843996191345
h2315,CH,scr4,solar,avaConv,0.54780489579257
h2316,CH,scr4,solar,avaConv,0.60225712239551
h2317,CH,scr4,solar,avaConv,0.640933776334144
h2318,CH,scr4,solar,avaConv,0.582418267254333
h2319,CH,scr4,solar,avaConv,0.461230936628165
h2320,CH,scr4,solar,avaConv,0.296920211737449
h2321,CH,scr4,solar,avaConv,0.144812811510603
h2322,CH,scr4,solar,avaConv,0.0278682957794842
h2323,CH,scr4,solar,avaConv,-1.49752478728079e-6
h2324,CH,scr4,solar,avaConv,0.0
h2325,CH,scr4,solar,avaConv,0.0
h2326,CH,scr4,solar,avaConv,0.0
h2327,CH,scr4,solar,avaConv,0.0
h2328,CH,scr4,solar,avaConv,0.0
h2329,CH,scr4,solar,avaConv,0.0
h2330,CH,scr4,solar,avaConv,0.0
h2331,CH,scr4,solar,avaConv,0.0
h2332,CH,scr4,solar,avaConv,0.0
h2333,CH,scr4,solar,avaConv,2.72573930926436e-5
h2334,CH,scr4,solar,avaConv,0.0373221898632361
h2335,CH,scr4,solar,avaConv,0.141270875845211
h2336,CH,scr4,solar,avaConv,0.268231795584138
h2337,CH,scr4,solar,avaConv,0.357657627097703
h2338,CH,scr4,solar,avaConv,0.443704493444664
h2339,CH,scr4,solar,avaConv,0.511294701941513
h2340,CH,scr4,solar,avaConv,0.492657555366348
h2341,CH,scr4,solar,avaConv,0.401980437929644
h2342,CH,scr4,solar,avaConv,0.289608155386228
h2343,CH,scr4,solar,avaConv,0.191222154356085
h2344,CH,scr4,solar,avaConv,0.121915994687
h2345,CH,scr4,solar,avaConv,0.0746701464681872
h2346,CH,scr4,solar,avaConv,0.0195073954727767
h2347,CH,scr4,solar,avaConv,-1.7546595897039e-6
h2348,CH,scr4,solar,avaConv,0.0
h2349,CH,scr4,solar,avaConv,0.0
h2350,CH,scr4,solar,avaConv,0.0
h2351,CH,scr4,solar,avaConv,0.0
h2352,CH,scr4,solar,avaConv,0.0
h2353,CH,scr4,solar,avaConv,0.0
h2354,CH,scr4,solar,avaConv,0.0
h2355,CH,scr4,solar,avaConv,0.0
h2356,CH,scr4,solar,avaConv,0.0
h2357,CH,scr4,solar,avaConv,4.47495721612027e-5
h2358,CH,scr4,solar,avaConv,0.0423952545075878
h2359,CH,scr4,solar,avaConv,0.184444486990448
h2360,CH,scr4,solar,avaConv,0.362795398654741
h2361,CH,scr4,solar,avaConv,0.50538443898146
h2362,CH,scr4,solar,avaConv,0.63253430536757
h2363,CH,scr4,solar,avaConv,0.756893007024994
h2364,CH,scr4,solar,avaConv,0.822455212472106
h2365,CH,scr4,solar,avaConv,0.796712102349382
h2366,CH,scr4,solar,avaConv,0.709542446948863
h2367,CH,scr4,solar,avaConv,0.578574267333724
h2368,CH,scr4,solar,avaConv,0.404520674422748
h2369,CH,scr4,solar,avaConv,0.216566650443703
h2370,CH,scr4,solar,avaConv,0.0514098960811667
h2371,CH,scr4,solar,avaConv,1.19262732691118e-5
h2372,CH,scr4,solar,avaConv,0.0
h2373,CH,scr4,solar,avaConv,0.0
h2374,CH,scr4,solar,avaConv,0.0
h2375,CH,scr4,solar,avaConv,0.0
h2376,CH,scr4,solar,avaConv,0.0
h2377,CH,scr4,solar,avaConv,0.0
h2378,CH,scr4,solar,avaConv,0.0
h2379,CH,scr4,solar,avaConv,0.0
h2380,CH,scr4,solar,avaConv,0.0
h2381,CH,scr4,solar,avaConv,0.000105590894842388
h2382,CH,scr4,solar,avaConv,0.0546344073965902
h2383,CH,scr4,solar,avaConv,0.204962201195201
h2384,CH,scr4,solar,avaConv,0.381706619066426
h2385,CH,scr4,solar,avaConv,0.545334986180084
h2386,CH,scr4,solar,avaConv,0.663058287419967
h2387,CH,scr4,solar,avaConv,0.720996604293736
h2388,CH,scr4,solar,avaConv,0.723899400989779
