timestep_3,region_1,technology_1,parameter,value
d001,AT,solar,avaConv,0.0
d002,AT,solar,avaConv,0.0387749737500769
d003,AT,solar,avaConv,0.06443165174408823
d004,AT,solar,avaConv,0.16475619906158434
d005,AT,solar,avaConv,0.3713858707900365
d006,AT,solar,avaConv,0.4766995990770113
d007,AT,solar,avaConv,0.4652277835301381
d008,AT,solar,avaConv,0.212016770706811
d009,AT,solar,avaConv,0.12868062335871583
d010,AT,solar,avaConv,0.07142821596092383
d011,AT,solar,avaConv,0.03877657589623246
d012,AT,solar,avaConv,0.13448372538451892
d013,AT,solar,avaConv,0.20627047927244901
d014,AT,solar,avaConv,0.13305369833955105
d015,AT,solar,avaConv,0.18644231492659366
d016,AT,solar,avaConv,0.18416371562241174
d017,AT,solar,avaConv,0.2445503214327977
d018,AT,solar,avaConv,0.3807677326393193
d019,AT,solar,avaConv,0.37146903450727803
d020,AT,solar,avaConv,0.2684922469820214
d021,AT,solar,avaConv,0.20432206442887169
d022,AT,solar,avaConv,0.18686744769695532
d023,AT,solar,avaConv,0.2489715100769348
d024,AT,solar,avaConv,0.2577426242442642
d025,AT,solar,avaConv,0.41781085998159595
d026,AT,solar,avaConv,0.3258113557114765
d027,AT,solar,avaConv,0.21675291548130216
d028,AT,solar,avaConv,0.21636119209325202
d029,AT,solar,avaConv,0.16650011543445284
d030,AT,solar,avaConv,0.18106525275910074
d031,AT,solar,avaConv,0.16262459675199514
d032,AT,solar,avaConv,0.17555604652066176
d033,AT,solar,avaConv,0.14484186905889015
d034,AT,solar,avaConv,0.1675081657186422
d035,AT,solar,avaConv,0.16773311879929514
d036,AT,solar,avaConv,0.14955076730979505
d037,AT,solar,avaConv,0.21353115713843562
d038,AT,solar,avaConv,0.11580101121153907
d039,AT,solar,avaConv,0.298327655925184
d040,AT,solar,avaConv,0.156486674900635
d041,AT,solar,avaConv,0.4502271719408827
d042,AT,solar,avaConv,0.23466050214075954
d043,AT,solar,avaConv,0.1413631091282268
d044,AT,solar,avaConv,0.22656956164353476
d045,AT,solar,avaConv,0.46913981636810026
d046,AT,solar,avaConv,0.34779902188250317
d047,AT,solar,avaConv,0.1860834158749311
d048,AT,solar,avaConv,0.07536425503876641
d049,AT,solar,avaConv,0.06378956369368197
d050,AT,solar,avaConv,0.18764031241952034
d051,AT,solar,avaConv,0.2637790832814123
d052,AT,solar,avaConv,0.10834230923550128
d053,AT,solar,avaConv,0.20267473709509895
d054,AT,solar,avaConv,0.2815911634063248
d055,AT,solar,avaConv,0.16397314934235274
d056,AT,solar,avaConv,0.2695739874505012
d057,AT,solar,avaConv,0.13054908160942091
d058,AT,solar,avaConv,0.1825411229594146
d059,AT,solar,avaConv,0.15246785326328363
d060,AT,solar,avaConv,0.1538617257998048
d061,AT,solar,avaConv,0.1697571257707965
d062,AT,solar,avaConv,0.18564059278571465
d063,AT,solar,avaConv,0.3097989836149375
d064,AT,solar,avaConv,0.2865968602827415
d065,AT,solar,avaConv,0.2245118756271827
d066,AT,solar,avaConv,0.3318267262035339
d067,AT,solar,avaConv,0.30394771297366036
d068,AT,solar,avaConv,0.2962575811105437
d069,AT,solar,avaConv,0.26853651492088465
d070,AT,solar,avaConv,0.10296394832884707
d071,AT,solar,avaConv,0.26254365221473536
d072,AT,solar,avaConv,0.32200999319829937
d073,AT,solar,avaConv,0.4221034460114092
d074,AT,solar,avaConv,0.43474760378742117
d075,AT,solar,avaConv,0.16858540040938105
d076,AT,solar,avaConv,0.23867119957293206
d077,AT,solar,avaConv,0.3314426573712531
d078,AT,solar,avaConv,0.306783681001967
d079,AT,solar,avaConv,0.11247517138941335
d080,AT,solar,avaConv,0.29179605863977626
