timestep_3,region_1,technology_1,parameter,value
d001,AT,wind,avaConv,0.0
d002,AT,wind,avaConv,0.0
d003,AT,wind,avaConv,0.0
d004,AT,wind,avaConv,0.0
d005,AT,wind,avaConv,0.0
d006,AT,wind,avaConv,0.010644444444444442
d007,AT,wind,avaConv,0.03199364035087719
d008,AT,wind,avaConv,0.05824455409356725
d009,AT,wind,avaConv,0.018978326023391813
d010,AT,wind,avaConv,0.0958577850877193
d011,AT,wind,avaConv,0.04420270467836257
d012,AT,wind,avaConv,0.0751594298245614
d013,AT,wind,avaConv,0.1059798611111111
d014,AT,wind,avaConv,0.024832748538011692
d015,AT,wind,avaConv,0.4250673245614035
d016,AT,wind,avaConv,0.17421235380116956
d017,AT,wind,avaConv,0.012933442982456139
d018,AT,wind,avaConv,6.359649122807018e-6
d019,AT,wind,avaConv,0.0
d020,AT,wind,avaConv,0.00034978070175438594
d021,AT,wind,avaConv,0.0003370614035087719
d022,AT,wind,avaConv,0.03766260964912281
d023,AT,wind,avaConv,0.1671343201754386
d024,AT,wind,avaConv,0.09156853070175439
d025,AT,wind,avaConv,0.002666703216374269
d026,AT,wind,avaConv,0.006073647660818713
d027,AT,wind,avaConv,0.020887061403508773
d028,AT,wind,avaConv,0.04398874269005848
d029,AT,wind,avaConv,0.036929093567251464
d030,AT,wind,avaConv,0.0012083333333333334
d031,AT,wind,avaConv,0.0006359649122807018
d032,AT,wind,avaConv,0.011869773391812865
d033,AT,wind,avaConv,0.01614422514619883
d034,AT,wind,avaConv,0.008652375730994153
d035,AT,wind,avaConv,0.040856944444444446
d036,AT,wind,avaConv,0.09946626461988303
d037,AT,wind,avaConv,0.06873698830409357
d038,AT,wind,avaConv,0.20392010233918131
d039,AT,wind,avaConv,0.3015255116959064
d040,AT,wind,avaConv,0.12213073830409357
d041,AT,wind,avaConv,0.1377881213450292
d042,AT,wind,avaConv,0.021916593567251466
d043,AT,wind,avaConv,0.0
d044,AT,wind,avaConv,0.0
d045,AT,wind,avaConv,0.02925420321637427
d046,AT,wind,avaConv,0.09242704678362573
d047,AT,wind,avaConv,0.1998723684210526
d048,AT,wind,avaConv,0.5429394005847954
d049,AT,wind,avaConv,0.2939884502923977
d050,AT,wind,avaConv,0.06863432017543859
d051,AT,wind,avaConv,0.3001228070175439
d052,AT,wind,avaConv,0.14512591374269004
d053,AT,wind,avaConv,0.2679043859649123
d054,AT,wind,avaConv,0.16151282894736843
d055,AT,wind,avaConv,0.38477595029239764
d056,AT,wind,avaConv,0.2761177631578947
d057,AT,wind,avaConv,0.3070174707602339
d058,AT,wind,avaConv,0.32981242690058477
d059,AT,wind,avaConv,0.26851845760233917
d060,AT,wind,avaConv,0.29538125000000004
d061,AT,wind,avaConv,0.3391550073099415
d062,AT,wind,avaConv,0.03340785818713451
d063,AT,wind,avaConv,0.023038011695906434
