timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0073,AT,scr5,electricity,dem,6.80772891018729
h0074,AT,scr5,electricity,dem,6.66346929480267
h0075,AT,scr5,electricity,dem,6.51253660249498
h0076,AT,scr5,electricity,dem,6.60402561348399
h0077,AT,scr5,electricity,dem,7.10216160249498
h0078,AT,scr5,electricity,dem,7.8499940200774
h0079,AT,scr5,electricity,dem,8.70345967941806
h0080,AT,scr5,electricity,dem,9.05751050359388
h0081,AT,scr5,electricity,dem,9.21581407502246
h0082,AT,scr5,electricity,dem,9.29821105304443
h0083,AT,scr5,electricity,dem,9.30424814095652
h0084,AT,scr5,electricity,dem,9.09712176733015
h0085,AT,scr5,electricity,dem,8.97095693216531
h0086,AT,scr5,electricity,dem,8.8713223167807
h0087,AT,scr5,electricity,dem,8.87105858051696
h0088,AT,scr5,electricity,dem,9.05810528381366
h0089,AT,scr5,electricity,dem,9.40182369040707
h0090,AT,scr5,electricity,dem,9.38273028381366
h0091,AT,scr5,electricity,dem,8.8943951189785
h0092,AT,scr5,electricity,dem,8.40019044864883
h0093,AT,scr5,electricity,dem,7.88859978930817
h0094,AT,scr5,electricity,dem,7.8306657233741
h0095,AT,scr5,electricity,dem,7.38592808601146
h0096,AT,scr5,electricity,dem,7.06438138271476
