timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0001,BE,scr3,electricity,dem,9.52884658053736
h0002,BE,scr3,electricity,dem,9.16588504207583
h0003,BE,scr3,electricity,dem,8.9537875146033
h0004,BE,scr3,electricity,dem,8.93600866844945
h0005,BE,scr3,electricity,dem,9.24623119592198
h0006,BE,scr3,electricity,dem,10.0650155365813
h0007,BE,scr3,electricity,dem,10.7439496025154
h0008,BE,scr3,electricity,dem,11.1404798222956
h0009,BE,scr3,electricity,dem,11.3918960310868
h0010,BE,scr3,electricity,dem,11.5114509761418
h0011,BE,scr3,electricity,dem,11.624937239878
h0012,BE,scr3,electricity,dem,11.4572614157022
h0013,BE,scr3,electricity,dem,11.3645691080099
h0014,BE,scr3,electricity,dem,11.2083877893286
h0015,BE,scr3,electricity,dem,11.1612476794385
h0016,BE,scr3,electricity,dem,11.2144111409769
h0017,BE,scr3,electricity,dem,11.684367184933
h0018,BE,scr3,electricity,dem,11.9118919102077
h0019,BE,scr3,electricity,dem,11.5464289981198
h0020,BE,scr3,electricity,dem,11.0234619651527
h0021,BE,scr3,electricity,dem,10.4956007014165
h0022,BE,scr3,electricity,dem,10.6074358662516
h0023,BE,scr3,electricity,dem,10.5698836684494
h0024,BE,scr3,electricity,dem,9.99283559152637
