timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0073,FR,scr2,electricity,dem,80.0583812734476
h0074,FR,scr2,electricity,dem,78.5689691855355
h0075,FR,scr2,electricity,dem,75.8126944602608
h0076,FR,scr2,electricity,dem,74.827029625096
h0077,FR,scr2,electricity,dem,76.6960570976234
h0078,FR,scr2,electricity,dem,80.9651065481729
h0079,FR,scr2,electricity,dem,85.4236120426784
h0080,FR,scr2,electricity,dem,87.4288318228982
h0081,FR,scr2,electricity,dem,88.5789417130081
h0082,FR,scr2,electricity,dem,88.8058373174036
h0083,FR,scr2,electricity,dem,88.8843263283927
h0084,FR,scr2,electricity,dem,88.9471834712498
h0085,FR,scr2,electricity,dem,87.2177658888322
h0086,FR,scr2,electricity,dem,85.1418592954256
h0087,FR,scr2,electricity,dem,83.155018636085
h0088,FR,scr2,electricity,dem,82.5945351196015
h0089,FR,scr2,electricity,dem,84.9423483064147
h0090,FR,scr2,electricity,dem,89.2130131415795
h0091,FR,scr2,electricity,dem,90.1234801745465
h0092,FR,scr2,electricity,dem,86.8208373174037
h0093,FR,scr2,electricity,dem,83.4846505042168
h0094,FR,scr2,electricity,dem,83.8753922624586
h0095,FR,scr2,electricity,dem,84.9719691855355
h0096,FR,scr2,electricity,dem,82.2901669877334
