timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0025,DE,scr10,electricity,dem,51.6250290749051
h0026,DE,scr10,electricity,dem,50.674252976004
h0027,DE,scr10,electricity,dem,50.7192900639161
h0028,DE,scr10,electricity,dem,51.5615634155645
h0029,DE,scr10,electricity,dem,53.5080153386414
h0030,DE,scr10,electricity,dem,58.4950730309491
h0031,DE,scr10,electricity,dem,63.6895730309491
h0032,DE,scr10,electricity,dem,66.4317461078722
h0033,DE,scr10,electricity,dem,67.8047461078722
h0034,DE,scr10,electricity,dem,69.0989054485315
h0035,DE,scr10,electricity,dem,70.0907145144656
h0036,DE,scr10,electricity,dem,69.6063092946853
h0037,DE,scr10,electricity,dem,68.4254658880919
h0038,DE,scr10,electricity,dem,67.2034397891908
h0039,DE,scr10,electricity,dem,66.5961156133667
h0040,DE,scr10,electricity,dem,67.0507763276524
h0041,DE,scr10,electricity,dem,69.4911032507293
h0042,DE,scr10,electricity,dem,70.2876801738062
h0043,DE,scr10,electricity,dem,68.8553395144656
h0044,DE,scr10,electricity,dem,65.2452186353447
h0045,DE,scr10,electricity,dem,62.3049164375425
h0046,DE,scr10,electricity,dem,60.4837694595205
h0047,DE,scr10,electricity,dem,56.7253820968831
h0048,DE,scr10,electricity,dem,53.6047241298502
