timestep_4,region_1,scenario_1,carrier_1,parameter,value
h0073,NL,scr2,electricity,dem,12.2157759259901
h0074,NL,scr2,electricity,dem,11.8933198820341
h0075,NL,scr2,electricity,dem,11.7667058710451
h0076,NL,scr2,electricity,dem,11.8088322446714
h0077,NL,scr2,electricity,dem,12.2080245523637
h0078,NL,scr2,electricity,dem,13.3800245523637
h0079,NL,scr2,electricity,dem,15.185907794122
h0080,NL,scr2,electricity,dem,16.4497402117044
h0081,NL,scr2,electricity,dem,17.0454902117044
h0082,NL,scr2,electricity,dem,17.2304393875286
h0083,NL,scr2,electricity,dem,17.236815761155
h0084,NL,scr2,electricity,dem,17.0786564204956
h0085,NL,scr2,electricity,dem,17.0364105413747
h0086,NL,scr2,electricity,dem,16.9500849919242
h0087,NL,scr2,electricity,dem,16.9430410358802
h0088,NL,scr2,electricity,dem,17.2701495523637
h0089,NL,scr2,electricity,dem,18.0419201567593
h0090,NL,scr2,electricity,dem,17.7685066952209
h0091,NL,scr2,electricity,dem,17.2466976292868
h0092,NL,scr2,electricity,dem,16.4707264754407
h0093,NL,scr2,electricity,dem,15.5294229040121
h0094,NL,scr2,electricity,dem,14.5145616402758
h0095,NL,scr2,electricity,dem,13.5903734534626
h0096,NL,scr2,electricity,dem,12.7781316952209
