timestep_2,scenario_1,parameter,value
in1,scr1,scrProb,0.05128
in1,scr2,scrProb,0.07692
in1,scr3,scrProb,0.02564
in1,scr4,scrProb,0.05128
in1,scr5,scrProb,0.12821
in1,scr6,scrProb,0.02564
in1,scr7,scrProb,0.10256
in1,scr8,scrProb,0.05128
in1,scr9,scrProb,0.02564
in1,scr10,scrProb,0.05128
in1,scr11,scrProb,0.02564
in1,scr12,scrProb,0.05128
in1,scr13,scrProb,0.07692
in1,scr14,scrProb,0.05128
in1,scr15,scrProb,0.02564
in1,scr16,scrProb,0.07692
in1,scr17,scrProb,0.07692
in1,scr18,scrProb,0.02564
in2,scr1,scrProb,0.05128
in2,scr2,scrProb,0.10256
in2,scr3,scrProb,0.28205
in2,scr4,scrProb,0.07692
in2,scr5,scrProb,0.02564
in2,scr6,scrProb,0.02564
in2,scr7,scrProb,0.05128
in2,scr8,scrProb,0.07692
in2,scr9,scrProb,0.10256
in2,scr10,scrProb,0.05128
in2,scr11,scrProb,0.05128
in2,scr12,scrProb,0.05128
in2,scr13,scrProb,0.05128
in2,scr14,scrProb,0.0
in2,scr15,scrProb,0.0
in2,scr16,scrProb,0.0
in2,scr17,scrProb,0.0
in2,scr18,scrProb,0.0
in3,scr1,scrProb,0.07692
in3,scr2,scrProb,0.02564
in3,scr3,scrProb,0.12821
in3,scr4,scrProb,0.10256
in3,scr5,scrProb,0.10256
in3,scr6,scrProb,0.02564
in3,scr7,scrProb,0.05128
in3,scr8,scrProb,0.02564
in3,scr9,scrProb,0.12821
in3,scr10,scrProb,0.05128
in3,scr11,scrProb,0.07692
in3,scr12,scrProb,0.12821
in3,scr13,scrProb,0.02564
in3,scr14,scrProb,0.02564
in3,scr15,scrProb,0.02564
in3,scr16,scrProb,0.0
in3,scr17,scrProb,0.0
in3,scr18,scrProb,0.0
in4,scr1,scrProb,0.07692
in4,scr2,scrProb,0.17949
in4,scr3,scrProb,0.10256
in4,scr4,scrProb,0.07692
in4,scr5,scrProb,0.02564
in4,scr6,scrProb,0.10256
in4,scr7,scrProb,0.02564
in4,scr8,scrProb,0.02564
in4,scr9,scrProb,0.05128
in4,scr10,scrProb,0.05128
in4,scr11,scrProb,0.10256
in4,scr12,scrProb,0.05128
in4,scr13,scrProb,0.05128
in4,scr14,scrProb,0.02564
in4,scr15,scrProb,0.02564
in4,scr16,scrProb,0.02564
in4,scr17,scrProb,0.0
in4,scr18,scrProb,0.0
