timestep_4,region_1,scenario_1,technology_1,parameter,value
h0001,AT,scr9,solar,avaConv,0.0
h0002,AT,scr9,solar,avaConv,0.0
h0003,AT,scr9,solar,avaConv,0.0
h0004,AT,scr9,solar,avaConv,0.0
h0005,AT,scr9,solar,avaConv,0.0
h0006,AT,scr9,solar,avaConv,0.0
h0007,AT,scr9,solar,avaConv,0.000155188389108012
h0008,AT,scr9,solar,avaConv,0.0354016540666453
h0009,AT,scr9,solar,avaConv,0.113733046826681
h0010,AT,scr9,solar,avaConv,0.174759971312346
h0011,AT,scr9,solar,avaConv,0.22451335752039
h0012,AT,scr9,solar,avaConv,0.256886864549053
h0013,AT,scr9,solar,avaConv,0.230426574433901
h0014,AT,scr9,solar,avaConv,0.145885335169452
h0015,AT,scr9,solar,avaConv,0.045357042288122
h0016,AT,scr9,solar,avaConv,0.000651160381554151
h0017,AT,scr9,solar,avaConv,0.0
h0018,AT,scr9,solar,avaConv,0.0
h0019,AT,scr9,solar,avaConv,0.0
h0020,AT,scr9,solar,avaConv,0.0
h0021,AT,scr9,solar,avaConv,0.0
h0022,AT,scr9,solar,avaConv,0.0
h0023,AT,scr9,solar,avaConv,0.0
h0024,AT,scr9,solar,avaConv,0.0
