timestep_4,region_1,scenario_1,technology_1,parameter,value
h0073,BE,scr5,solar,avaConv,0.0
h0074,BE,scr5,solar,avaConv,0.0
h0075,BE,scr5,solar,avaConv,0.0
h0076,BE,scr5,solar,avaConv,0.0
h0077,BE,scr5,solar,avaConv,0.0
h0078,BE,scr5,solar,avaConv,0.0
h0079,BE,scr5,solar,avaConv,0.0
h0080,BE,scr5,solar,avaConv,0.000348740667403019
h0081,BE,scr5,solar,avaConv,0.0325051231630951
h0082,BE,scr5,solar,avaConv,0.106258348019451
h0083,BE,scr5,solar,avaConv,0.184211386316698
h0084,BE,scr5,solar,avaConv,0.224770046655065
h0085,BE,scr5,solar,avaConv,0.197005342436737
h0086,BE,scr5,solar,avaConv,0.127159129087456
h0087,BE,scr5,solar,avaConv,0.0482570250490353
h0088,BE,scr5,solar,avaConv,0.00408660820071628
h0089,BE,scr5,solar,avaConv,0.0
h0090,BE,scr5,solar,avaConv,0.0
h0091,BE,scr5,solar,avaConv,0.0
h0092,BE,scr5,solar,avaConv,0.0
h0093,BE,scr5,solar,avaConv,0.0
h0094,BE,scr5,solar,avaConv,0.0
h0095,BE,scr5,solar,avaConv,0.0
h0096,BE,scr5,solar,avaConv,0.0
