timestep_4,region_1,scenario_1,technology_1,parameter,value
h0001,FR,scr9,solar,avaConv,0.0
h0002,FR,scr9,solar,avaConv,0.0
h0003,FR,scr9,solar,avaConv,0.0
h0004,FR,scr9,solar,avaConv,0.0
h0005,FR,scr9,solar,avaConv,0.0
h0006,FR,scr9,solar,avaConv,0.0
h0007,FR,scr9,solar,avaConv,2.13639444542686e-8
h0008,FR,scr9,solar,avaConv,0.00350382639080633
h0009,FR,scr9,solar,avaConv,0.0288557172437015
h0010,FR,scr9,solar,avaConv,0.0636459210213662
h0011,FR,scr9,solar,avaConv,0.0902507266381744
h0012,FR,scr9,solar,avaConv,0.102825556090538
h0013,FR,scr9,solar,avaConv,0.0959280775524892
h0014,FR,scr9,solar,avaConv,0.0761045099459708
h0015,FR,scr9,solar,avaConv,0.046799111545348
h0016,FR,scr9,solar,avaConv,0.0143790449379385
h0017,FR,scr9,solar,avaConv,0.000169341603320195
h0018,FR,scr9,solar,avaConv,0.0
h0019,FR,scr9,solar,avaConv,0.0
h0020,FR,scr9,solar,avaConv,0.0
h0021,FR,scr9,solar,avaConv,0.0
h0022,FR,scr9,solar,avaConv,0.0
h0023,FR,scr9,solar,avaConv,0.0
h0024,FR,scr9,solar,avaConv,0.0
