timestep_4,region_1,scenario_1,technology_1,parameter,value
h0001,DE,scr4,solar,avaConv,0.0
h0002,DE,scr4,solar,avaConv,0.0
h0003,DE,scr4,solar,avaConv,0.0
h0004,DE,scr4,solar,avaConv,0.0
h0005,DE,scr4,solar,avaConv,0.0
h0006,DE,scr4,solar,avaConv,0.0
h0007,DE,scr4,solar,avaConv,0.0
h0008,DE,scr4,solar,avaConv,0.00807998208963014
h0009,DE,scr4,solar,avaConv,0.0756977530527694
h0010,DE,scr4,solar,avaConv,0.166591556065126
h0011,DE,scr4,solar,avaConv,0.230384772370175
h0012,DE,scr4,solar,avaConv,0.248635274718081
h0013,DE,scr4,solar,avaConv,0.220143860521978
h0014,DE,scr4,solar,avaConv,0.15074825938125
h0015,DE,scr4,solar,avaConv,0.0587082489067631
h0016,DE,scr4,solar,avaConv,0.00242119911933467
h0017,DE,scr4,solar,avaConv,0.0
h0018,DE,scr4,solar,avaConv,0.0
h0019,DE,scr4,solar,avaConv,0.0
h0020,DE,scr4,solar,avaConv,0.0
h0021,DE,scr4,solar,avaConv,0.0
h0022,DE,scr4,solar,avaConv,0.0
h0023,DE,scr4,solar,avaConv,0.0
h0024,DE,scr4,solar,avaConv,0.0
