timestep_4,region_1,scenario_1,technology_1,parameter,value
h0073,LU,scr5,solar,avaConv,0.0
h0074,LU,scr5,solar,avaConv,0.0
h0075,LU,scr5,solar,avaConv,0.0
h0076,LU,scr5,solar,avaConv,0.0
h0077,LU,scr5,solar,avaConv,0.0
h0078,LU,scr5,solar,avaConv,0.0
h0079,LU,scr5,solar,avaConv,0.0
h0080,LU,scr5,solar,avaConv,0.00335897198960194
h0081,LU,scr5,solar,avaConv,0.0666380496192191
h0082,LU,scr5,solar,avaConv,0.147370200966094
h0083,LU,scr5,solar,avaConv,0.228574927177399
h0084,LU,scr5,solar,avaConv,0.260603454326319
h0085,LU,scr5,solar,avaConv,0.248403307917471
h0086,LU,scr5,solar,avaConv,0.176248471083009
h0087,LU,scr5,solar,avaConv,0.0620447739927897
h0088,LU,scr5,solar,avaConv,0.00729967062707354
h0089,LU,scr5,solar,avaConv,0.0
h0090,LU,scr5,solar,avaConv,0.0
h0091,LU,scr5,solar,avaConv,0.0
h0092,LU,scr5,solar,avaConv,0.0
h0093,LU,scr5,solar,avaConv,0.0
h0094,LU,scr5,solar,avaConv,0.0
h0095,LU,scr5,solar,avaConv,0.0
h0096,LU,scr5,solar,avaConv,0.0
