timestep_4,region_1,scenario_1,technology_1,parameter,value
h0073,NL,scr1,solar,avaConv,0.0
h0074,NL,scr1,solar,avaConv,0.0
h0075,NL,scr1,solar,avaConv,0.0
h0076,NL,scr1,solar,avaConv,0.0
h0077,NL,scr1,solar,avaConv,0.0
h0078,NL,scr1,solar,avaConv,0.0
h0079,NL,scr1,solar,avaConv,0.0
h0080,NL,scr1,solar,avaConv,4.32884847401842e-5
h0081,NL,scr1,solar,avaConv,0.0151319566169535
h0082,NL,scr1,solar,avaConv,0.0456014766073781
h0083,NL,scr1,solar,avaConv,0.0633114026136723
h0084,NL,scr1,solar,avaConv,0.0596515990639821
h0085,NL,scr1,solar,avaConv,0.0309716090244826
h0086,NL,scr1,solar,avaConv,0.0165224144152786
h0087,NL,scr1,solar,avaConv,0.00929283588663102
h0088,NL,scr1,solar,avaConv,0.00152751967922827
h0089,NL,scr1,solar,avaConv,0.0
h0090,NL,scr1,solar,avaConv,0.0
h0091,NL,scr1,solar,avaConv,0.0
h0092,NL,scr1,solar,avaConv,0.0
h0093,NL,scr1,solar,avaConv,0.0
h0094,NL,scr1,solar,avaConv,0.0
h0095,NL,scr1,solar,avaConv,0.0
h0096,NL,scr1,solar,avaConv,0.0
