timestep_4,region_1,scenario_1,technology_1,parameter,value
h0073,AT,scr9,wind,avaConv,0.493452430464018
h0074,AT,scr9,wind,avaConv,0.551018671302813
h0075,AT,scr9,wind,avaConv,0.492248888971802
h0076,AT,scr9,wind,avaConv,0.561420937199847
h0077,AT,scr9,wind,avaConv,0.563747280427373
h0078,AT,scr9,wind,avaConv,0.57917079109921
h0079,AT,scr9,wind,avaConv,0.460300019597711
h0080,AT,scr9,wind,avaConv,0.452752114754015
h0081,AT,scr9,wind,avaConv,0.445632180527593
h0082,AT,scr9,wind,avaConv,0.455065412979404
h0083,AT,scr9,wind,avaConv,0.442888559815818
h0084,AT,scr9,wind,avaConv,0.387197866718404
h0085,AT,scr9,wind,avaConv,0.378363569785055
h0086,AT,scr9,wind,avaConv,0.332422008737303
h0087,AT,scr9,wind,avaConv,0.252419001294153
h0088,AT,scr9,wind,avaConv,0.153882826541737
h0089,AT,scr9,wind,avaConv,0.0824033724138912
h0090,AT,scr9,wind,avaConv,0.0651428408679952
h0091,AT,scr9,wind,avaConv,0.0368463920106665
h0092,AT,scr9,wind,avaConv,0.0161087812431062
h0093,AT,scr9,wind,avaConv,0.00792214233713054
h0094,AT,scr9,wind,avaConv,0.00565944989312657
h0095,AT,scr9,wind,avaConv,0.00503800895841793
h0096,AT,scr9,wind,avaConv,0.00714149524005303
