timestep_4,region_1,scenario_1,technology_1,parameter,value
h0001,BE,scr17,wind,avaConv,0.504236856681303
h0002,BE,scr17,wind,avaConv,0.448555914421806
h0003,BE,scr17,wind,avaConv,0.428898514993897
h0004,BE,scr17,wind,avaConv,0.438121631205265
h0005,BE,scr17,wind,avaConv,0.433768240792414
h0006,BE,scr17,wind,avaConv,0.439108357551826
h0007,BE,scr17,wind,avaConv,0.442548922443568
h0008,BE,scr17,wind,avaConv,0.437288671224534
h0009,BE,scr17,wind,avaConv,0.435727827227806
h0010,BE,scr17,wind,avaConv,0.479114353330227
h0011,BE,scr17,wind,avaConv,0.502635828979603
h0012,BE,scr17,wind,avaConv,0.5232661121908
h0013,BE,scr17,wind,avaConv,0.52311691514984
h0014,BE,scr17,wind,avaConv,0.480223323573495
h0015,BE,scr17,wind,avaConv,0.439635191953472
h0016,BE,scr17,wind,avaConv,0.397239096393436
h0017,BE,scr17,wind,avaConv,0.439024838313334
h0018,BE,scr17,wind,avaConv,0.485552333066106
h0019,BE,scr17,wind,avaConv,0.513087910443973
h0020,BE,scr17,wind,avaConv,0.522798588242594
h0021,BE,scr17,wind,avaConv,0.535865370129168
h0022,BE,scr17,wind,avaConv,0.569317239192871
h0023,BE,scr17,wind,avaConv,0.591612388496916
h0024,BE,scr17,wind,avaConv,0.617030793616963
