timestep_4,region_1,scenario_1,technology_1,parameter,value
h0001,DE,scr8,wind,avaConv,0.0751299128103692
h0002,DE,scr8,wind,avaConv,0.0751804094091346
h0003,DE,scr8,wind,avaConv,0.0755929096326291
h0004,DE,scr8,wind,avaConv,0.0763915496562202
h0005,DE,scr8,wind,avaConv,0.0782108922208612
h0006,DE,scr8,wind,avaConv,0.0768843806364111
h0007,DE,scr8,wind,avaConv,0.0750717516842947
h0008,DE,scr8,wind,avaConv,0.0718229689878804
h0009,DE,scr8,wind,avaConv,0.073363328991903
h0010,DE,scr8,wind,avaConv,0.0778121567134162
h0011,DE,scr8,wind,avaConv,0.0730068090578107
h0012,DE,scr8,wind,avaConv,0.0654193837531032
h0013,DE,scr8,wind,avaConv,0.0535003676185388
h0014,DE,scr8,wind,avaConv,0.0393409264491157
h0015,DE,scr8,wind,avaConv,0.0230573451433082
h0016,DE,scr8,wind,avaConv,0.0246588219860413
h0017,DE,scr8,wind,avaConv,0.030494474361165
h0018,DE,scr8,wind,avaConv,0.0372999717619236
h0019,DE,scr8,wind,avaConv,0.0437700193336452
h0020,DE,scr8,wind,avaConv,0.0507557177611963
h0021,DE,scr8,wind,avaConv,0.0528647725983916
h0022,DE,scr8,wind,avaConv,0.0536149661933343
h0023,DE,scr8,wind,avaConv,0.0539687697688983
h0024,DE,scr8,wind,avaConv,0.0557476804711174
