timestep_4,region_1,scenario_1,technology_1,parameter,value
h0049,LU,scr3,wind,avaConv,0.99041951126635
h0050,LU,scr3,wind,avaConv,0.970293465140066
h0051,LU,scr3,wind,avaConv,0.975795833070549
h0052,LU,scr3,wind,avaConv,0.967256093501329
h0053,LU,scr3,wind,avaConv,0.978746583076771
h0054,LU,scr3,wind,avaConv,0.980869471763148
h0055,LU,scr3,wind,avaConv,0.981402305125932
h0056,LU,scr3,wind,avaConv,0.991996780536546
h0057,LU,scr3,wind,avaConv,0.999957396173446
h0058,LU,scr3,wind,avaConv,1.00000001653888
h0059,LU,scr3,wind,avaConv,0.856037897713699
h0060,LU,scr3,wind,avaConv,0.856037897713699
h0061,LU,scr3,wind,avaConv,0.520126287121621
h0062,LU,scr3,wind,avaConv,0.520126287121621
h0063,LU,scr3,wind,avaConv,0.513101821461151
h0064,LU,scr3,wind,avaConv,1.00000001653888
h0065,LU,scr3,wind,avaConv,1.00000001653888
h0066,LU,scr3,wind,avaConv,1.00000001653888
h0067,LU,scr3,wind,avaConv,1.00000001653888
h0068,LU,scr3,wind,avaConv,1.00000001653888
h0069,LU,scr3,wind,avaConv,1.00000001653888
h0070,LU,scr3,wind,avaConv,1.00000001653888
h0071,LU,scr3,wind,avaConv,1.00000001653888
h0072,LU,scr3,wind,avaConv,1.00000001653888
