timestep_4,region_1,scenario_1,technology_1,parameter,value
h0001,NL,scr12,wind,avaConv,0.90682998936379
h0002,NL,scr12,wind,avaConv,0.700915995225952
h0003,NL,scr12,wind,avaConv,0.576864635764592
h0004,NL,scr12,wind,avaConv,0.576864635764592
h0005,NL,scr12,wind,avaConv,0.573481478622998
h0006,NL,scr12,wind,avaConv,0.729755180075898
h0007,NL,scr12,wind,avaConv,0.761058048277035
h0008,NL,scr12,wind,avaConv,0.99143882726724
h0009,NL,scr12,wind,avaConv,0.995719389881256
h0010,NL,scr12,wind,avaConv,0.999999952495272
h0011,NL,scr12,wind,avaConv,0.999999952495272
h0012,NL,scr12,wind,avaConv,0.999999952495272
h0013,NL,scr12,wind,avaConv,0.999999952495272
h0014,NL,scr12,wind,avaConv,0.999999952495272
h0015,NL,scr12,wind,avaConv,0.999999952495272
h0016,NL,scr12,wind,avaConv,0.999999952495272
h0017,NL,scr12,wind,avaConv,0.999999952495272
h0018,NL,scr12,wind,avaConv,0.999999952495272
h0019,NL,scr12,wind,avaConv,0.99643536805886
h0020,NL,scr12,wind,avaConv,0.989306199186036
h0021,NL,scr12,wind,avaConv,0.999999952495272
h0022,NL,scr12,wind,avaConv,0.999999952495272
h0023,NL,scr12,wind,avaConv,0.999999952495272
h0024,NL,scr12,wind,avaConv,0.999999952495272
