timestep_4,region_1,scenario_1,technology_1,parameter,value
h0073,CH,scr15,wind,avaConv,0.800370922571942
h0074,CH,scr15,wind,avaConv,0.617522161142797
h0075,CH,scr15,wind,avaConv,0.396102315482485
h0076,CH,scr15,wind,avaConv,0.21820332182239
h0077,CH,scr15,wind,avaConv,0.157880405927068
h0078,CH,scr15,wind,avaConv,0.0830964313157144
h0079,CH,scr15,wind,avaConv,0.0667136537773821
h0080,CH,scr15,wind,avaConv,0.0469323424748296
h0081,CH,scr15,wind,avaConv,0.0674418682898243
h0082,CH,scr15,wind,avaConv,0.117764850123215
h0083,CH,scr15,wind,avaConv,0.14552977203148
h0084,CH,scr15,wind,avaConv,0.163476539885336
h0085,CH,scr15,wind,avaConv,0.180410549798529
h0086,CH,scr15,wind,avaConv,0.169599791036602
h0087,CH,scr15,wind,avaConv,0.134477007990623
h0088,CH,scr15,wind,avaConv,0.0684946664737963
h0089,CH,scr15,wind,avaConv,0.0467580587598869
h0090,CH,scr15,wind,avaConv,0.0455222826744923
h0091,CH,scr15,wind,avaConv,0.0429158204278877
h0092,CH,scr15,wind,avaConv,0.0417553941000166
h0093,CH,scr15,wind,avaConv,0.0431470662400386
h0094,CH,scr15,wind,avaConv,0.0435048277172455
h0095,CH,scr15,wind,avaConv,0.0431470662400386
h0096,CH,scr15,wind,avaConv,0.0422386718984615
